,CID
0,643
1,6091
2,12028
3,12598
4,12599
5,12680
6,12681
7,12682
8,12683
9,12684
10,12685
11,12686
12,16688
13,16705
14,16706
15,16708
16,16891
17,19860
18,19861
19,19862
20,25641
21,25924
22,25937
23,26537
24,26538
25,26539
26,26624
27,26625
28,29838
29,29839
30,33036
31,33044
32,37435
33,37439
34,40172
35,47853
36,48803
37,48804
38,48882
39,51905
40,51906
41,51907
42,51909
43,51913
44,55671
45,55672
46,55673
47,55674
48,55675
49,55676
50,55677
51,55678
52,55746
53,55747
54,58678
55,58681
56,58682
57,61004
58,61929
59,61930
60,61931
