,CID
0,8640
1,8643
2,9979
3,9980
4,10415
5,10417
6,10418
7,10419
8,10421
9,10422
10,10423
11,10424
12,10521
13,10522
14,10523
15,10528
16,10529
17,12760
18,12761
19,17355
20,17356
21,17357
22,17358
23,17359
24,17361
25,17362
26,17363
27,23576
28,23577
29,23578
30,23579
31,23580
32,23581
33,23582
34,23583
35,23584
36,24058
37,24062
38,24063
39,24064
40,31510
41,31511
42,31512
43,31513
44,31514
45,31516
46,31518
47,31519
48,31520
49,31521
50,31522
51,31523
52,31524
53,31529
54,31531
55,31533
56,31534
57,31535
58,31536
59,31537
60,31538
61,31539
62,31540
63,31542
64,31543
65,31544
66,31545
67,31662
68,38952
69,38960
70,38961
71,38962
72,38971
73,38981
74,38982
75,38983
76,38984
77,38991
78,38992
79,38993
80,38994
81,38995
82,38996
83,39140
84,39141
85,45785
86,45786
87,45787
88,45788
89,45789
90,45790
91,45791
92,45792
93,45793
94,45794
95,45795
96,45796
97,46306
98,46337
99,46338
100,46339
101,46340
102,46341
103,52968
104,52969
105,52970
106,52971
107,52972
108,53516
109,53517
110,53518
111,59434
112,59435
113,59436
114,59857
115,59858
116,59859
117,59860
118,59861
119,59862
120,59863
121,59864
122,59865
123,59866
124,59867
125,59868
126,59881
127,59883
128,59884
129,59885
130,59887
131,59888
132,59889
133,59898
134,59899
135,59900
136,59902
137,59903
138,59904
139,59905
140,59992
