,customer,weight,round,length
0,"[158, 157, 102, 75, 76, 147, 148, 77, 103, 74, 50, 49, 48]","[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",0,2285.9604492066
1,"[117, 30, 118, 25, 98, 26, 10, 9, 63, 59]","[1, 4, 1, 1, 1, 1, 1, 1, 3, 1]",0,1994.4827607153
2,"[111, 112, 146, 113, 72, 114, 133, 61, 60]","[1, 1, 1, 1, 1, 2, 3, 3, 2]",0,1776.2415781190998
3,"[19, 21, 20, 154, 143, 92, 140]","[3, 3, 2, 1, 3, 1, 2]",1,3482.77991406
4,"[27, 122, 124, 105, 1, 65, 40, 152, 2, 85, 171]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2]",1,5356.2447747929
5,"[91, 90, 18, 89, 107, 150, 149, 76, 120, 73]","[1, 1, 1, 1, 1, 1, 1, 4, 2, 2]",1,6960.618298190299
6,"[142, 22, 23, 144, 145, 34, 33, 139, 137, 136, 42, 123]","[2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]",2,8493.9613124235
7,"[11, 52, 141, 160, 161, 163, 54, 78, 108, 16, 17]","[3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",2,5806.953123285401
8,"[3, 165, 167, 95, 57, 96, 151, 173, 43, 104, 106]","[2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1]",2,5671.183642078001
9,"[32, 162, 164]","[1, 2, 2]",3,5284.154555321001
10,[],[],3,0.0
11,[],[],3,0.0
