,CID
0,103
1,9078
2,9079
3,9080
4,9081
5,9082
6,9083
7,9084
8,9085
9,9086
10,9101
11,9102
12,9103
13,9113
14,9114
15,9115
16,9116
17,9117
18,9118
19,9128
20,9129
21,9130
22,9131
23,10950
24,10951
25,10952
26,11247
27,11248
28,11809
29,11810
30,11814
31,11815
32,11816
33,11817
34,11818
35,11819
36,11820
37,11821
38,12002
39,12330
40,15855
41,15856
42,15857
43,15858
44,18964
45,22865
46,22869
47,22870
48,24785
49,24791
50,25747
51,25748
52,25902
53,25903
54,29886
55,29887
56,29893
57,29894
58,32055
59,32104
60,32105
61,32106
62,32107
63,32108
64,32109
65,32277
66,32279
67,32318
68,32943
69,32944
70,37476
71,37477
72,37478
73,37479
74,37480
75,37481
76,37482
77,37484
78,37491
79,37492
80,37493
81,37498
82,37500
83,37501
84,37502
85,37503
86,37504
87,37505
88,39706
89,39707
90,39762
91,44468
92,44469
93,44470
94,44484
95,44485
96,44515
97,47045
98,47046
99,47047
100,47387
101,47388
102,47389
103,48046
104,48047
105,48048
106,48049
107,48050
108,48120
109,51960
110,51961
111,51962
112,51963
113,54923
114,54978
115,58729
116,58734
117,58735
118,58736
119,58737
120,58738
121,58739
122,61330
