,customer,weight,round,length
0,"[104, 91, 61, 132, 71, 45, 63, 131, 130, 59]","[2, 2, 2, 1, 2, 1, 1, 1, 1, 2]",0,3253.151096876
1,"[115, 112, 94, 93, 111, 14, 5]","[1, 1, 1, 1, 2, 2, 7]",0,2486.187215854
2,"[120, 118, 54, 108, 72, 100, 58]","[2, 1, 3, 2, 5, 1, 1]",0,3934.260875048
3,"[96, 92, 78, 105, 135, 38, 39, 51, 133, 8, 79, 97, 114]","[1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0,7162.699118935
4,"[117, 36, 64, 26, 69, 101, 41, 21, 84, 85, 86, 116, 83]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,2758.1634491390996
5,[],[],1,0.0
6,[],[],1,0.0
7,"[90, 35, 102, 89, 103, 107, 126, 77, 66, 31]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",1,7434.49767388
8,[],[],1,0.0
9,[],[],1,0.0
