,BID
0,27574
1,27630
2,27641
3,27679
4,27682
5,27736
6,27817
7,27821
8,27853
9,27875
10,27916
11,27959
12,27994
13,28019
14,28027
15,28148
16,28185
17,28186
18,28226
19,28257
20,28326
21,28365
22,28396
23,28430
24,28468
25,28478
26,28504
27,28559
28,28566
29,28590
30,28618
31,28623
32,28670
33,28764
34,28830
35,28885
36,28912
37,28915
38,28933
39,28969
40,28992
41,29018
42,29044
43,29050
44,29078
45,29104
46,29160
47,29222
48,29338
49,29397
50,29445
51,29507
52,29532
53,29571
54,29622
55,29660
56,29686
57,29732
58,29763
59,29821
60,29885
61,29912
62,29924
63,29941
64,29960
65,29975
66,30028
67,30049
68,30080
69,30101
70,30147
71,30181
72,30248
73,30261
74,30283
75,30335
76,30361
77,30434
78,30445
79,30515
80,30537
81,30558
82,30571
