,CID
0,10622
1,10623
2,10624
3,10626
4,17566
5,17571
6,17572
7,17574
8,17575
9,17576
10,17577
11,17581
12,17582
13,17583
14,18094
15,18095
16,18096
17,18201
18,18212
19,18213
20,18214
21,18215
22,18216
23,18217
24,18353
25,18563
26,18564
27,18565
28,24364
29,24365
30,24370
31,25002
32,25003
33,25004
34,25005
35,25130
36,25132
37,25373
38,31736
39,31737
40,31767
41,31768
42,31769
43,31770
44,31772
45,31773
46,31790
47,31793
48,31796
49,31797
50,31798
51,31799
52,31800
53,31801
54,32134
55,32418
56,32419
57,39269
58,39272
59,39274
60,39275
61,41119
62,45191
63,45193
64,47390
65,48353
66,53717
67,53719
68,54021
69,54022
70,54023
71,54024
72,54025
73,54026
74,54027
75,54279
76,54280
77,54281
78,54653
79,55275
80,60094
81,60109
82,60111
83,60112
84,60113
85,60114
86,60115
87,60116
88,60118
89,60119
90,60120
91,60122
92,60123
93,60124
94,60125
95,60128
96,60129
97,60130
98,60498
99,60552
100,60554
101,60671
102,60672
103,60673
104,60674
105,60721
106,61035
107,61589
