,CID
0,307
1,332
2,334
3,335
4,336
5,337
6,338
7,339
8,3811
9,8950
10,8954
11,8956
12,8958
13,8959
14,8960
15,8961
16,8962
17,8964
18,8965
19,8966
20,8967
21,9965
22,9966
23,12759
24,15764
25,15765
26,15766
27,15768
28,15769
29,15770
30,15773
31,15774
32,15775
33,15776
34,15777
35,15778
36,15779
37,15781
38,15783
39,15784
40,15786
41,17854
42,17855
43,19513
44,19870
45,19871
46,22678
47,22679
48,22681
49,22682
50,22683
51,22684
52,22685
53,22691
54,24891
55,24892
56,24893
57,24894
58,24895
59,24896
60,24897
61,24898
62,24899
63,25955
64,26492
65,29707
66,29708
67,29723
68,29724
69,29725
70,29726
71,32060
72,32193
73,32194
74,32195
75,32196
76,32197
77,32198
78,32199
79,32200
80,32201
81,32202
82,32938
83,33275
84,33390
85,33391
86,33615
87,33616
88,33617
89,37314
90,37315
91,37316
92,37318
93,37321
94,37322
95,37324
96,37326
97,37327
98,37329
99,37330
100,37331
101,37332
102,37333
103,37334
104,37335
105,37351
106,39483
107,40262
108,40263
109,40828
110,41153
111,41154
112,44297
113,44298
114,44399
115,44400
116,45675
117,45676
118,45677
119,45678
120,45679
121,47040
122,47103
123,48340
124,48441
125,48442
126,48443
127,48580
128,48620
129,48621
130,51781
131,51782
132,51797
133,51799
134,51800
135,51801
136,51802
137,51803
138,51804
139,51805
140,52959
141,54114
142,55251
143,55360
144,55361
145,55362
146,55363
147,55364
148,55465
149,55466
150,58625
151,58626
152,58627
153,58630
154,58631
155,58632
156,58633
157,58634
158,58635
159,58636
160,58637
161,58638
162,58639
163,58640
164,58641
165,58642
166,58643
167,58644
168,58645
169,61439
170,61653
171,61654
172,61655
173,62018
174,62019
175,62020
176,62021
177,62022
