,BID
0,14798
1,14801
2,14870
3,14878
4,14887
5,14891
6,14928
7,14931
8,14951
9,14953
10,14957
11,14967
12,14976
13,14989
14,15002
15,15079
16,15082
17,15090
18,15104
19,15133
20,15145
21,15149
22,15150
23,15157
24,15158
25,15185
26,15197
27,15208
28,15227
29,15241
30,15261
31,15262
32,15272
33,15273
34,15295
35,15313
36,15315
37,15335
38,15347
39,15379
40,15390
41,15440
42,15449
43,15450
44,15469
45,15478
46,15487
47,15491
48,15511
49,15520
50,15533
51,15539
52,15543
53,15544
54,15564
55,15565
56,15566
57,15570
58,15572
59,15573
60,15575
61,15576
62,15577
63,15578
64,15579
65,15591
66,15592
67,15599
68,15607
69,15610
70,15617
71,15618
72,15633
73,15640
74,15641
75,15650
76,15660
77,15685
78,15686
79,15699
80,15703
81,15720
82,15727
83,15728
84,15729
85,15732
86,15738
87,15739
88,15749
89,15755
90,15763
91,15773
92,15775
93,15783
94,15786
95,15787
96,15788
97,15792
98,15803
99,15811
100,15812
101,15814
102,15817
103,15818
104,15822
105,15826
106,15849
107,15853
108,15865
109,15869
110,15894
111,15899
112,15912
113,15944
114,15948
115,15949
116,15951
117,15954
118,15962
119,15968
120,15971
121,15975
122,15978
123,15981
124,15988
125,16064
126,16067
127,16081
128,16091
129,16129
130,16169
131,16173
132,16174
133,16199
134,16218
135,16230
136,16266
137,16270
138,16274
139,16281
140,16324
141,16325
142,16328
143,16330
144,16331
145,16334
146,16337
147,16338
148,16340
149,16341
150,16368
151,16379
152,16383
153,16392
154,16399
155,16409
156,16420
157,16427
158,16430
159,16445
160,16480
161,16483
162,16486
163,16506
164,16512
165,16519
166,16521
167,16522
168,16524
169,16527
170,16529
171,16532
172,16538
173,16542
174,16550
175,16552
176,16557
177,16577
178,16589
179,16591
180,16595
181,16608
182,16617
183,16619
184,16630
185,16634
186,16639
187,16643
188,16644
189,16645
190,16649
191,16654
192,16657
193,16662
194,16678
195,16685
196,16701
197,16706
198,16707
199,16709
200,16713
201,16716
202,16721
203,16733
204,16735
205,16736
206,16756
207,16760
208,16763
209,16770
210,16774
211,16782
212,16787
213,16788
214,16796
215,16803
216,16807
217,16809
218,16812
219,16822
220,16827
221,16831
222,16833
223,16835
224,16836
225,16841
226,16844
227,16872
228,16875
229,16878
230,16888
231,16892
232,16904
233,16907
234,16919
235,16925
236,16926
237,16929
238,16939
239,16941
240,16947
241,16954
242,16957
243,16962
244,16967
245,16973
246,16975
247,16976
248,16985
249,16987
250,16990
251,16998
252,17000
253,17005
254,17007
255,17010
256,17033
257,17036
258,17040
259,17046
260,17059
261,17066
262,17071
263,17091
264,17096
265,17098
266,17107
267,17112
268,17131
269,17138
270,17148
271,17157
272,17160
273,17178
274,17186
275,17198
276,17218
277,17222
278,17239
279,17256
280,17259
281,17270
282,17278
283,17306
284,17316
285,17336
286,17348
287,17373
288,17408
289,17469
290,17473
291,17528
292,17611
293,17673
294,17796
295,17821
296,18024
297,18084
298,18101
299,18132
300,18138
301,18162
302,18219
303,18388
304,18507
305,18516
