,customer,weight,round,length
0,"[236, 282, 78, 16, 15, 274, 14, 88, 141, 12]","[1, 2, 1, 1, 1, 1, 1, 1, 3, 3]",0,2981.3336226892
1,"[114, 28, 107, 62, 29, 104, 154, 304, 158, 159, 211, 50, 49, 256]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",0,20355.9322763869
2,"[268, 267, 147, 129, 306, 239, 96, 52, 53, 130]","[1, 2, 1, 3, 1, 1, 1, 2, 2, 1]",0,4210.8961046349
3,"[266, 70, 68, 64, 229, 120, 10, 7, 296, 260, 273, 148]","[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2]",0,22513.336110533004
4,"[277, 283, 197, 198, 196, 195, 44, 235]","[1, 2, 1, 5, 1, 1, 2, 1]",1,2834.6236881479995
5,"[298, 289, 288, 98, 169, 113, 35]","[1, 2, 2, 1, 1, 5, 3]",1,5079.858677932
6,"[95, 162, 57, 55, 168, 23]","[1, 1, 2, 1, 2, 1]",1,3346.0958723189997
7,"[207, 314, 39, 246, 309, 310, 220, 249, 206, 285, 20, 281]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",1,5271.436578136199
