,BID
0,30141
1,30183
2,30213
3,30251
4,30280
5,30299
6,30465
7,30497
8,30506
9,30572
10,30595
11,30634
12,30664
13,30743
14,30766
15,30793
16,30794
17,30821
18,30848
19,30849
20,30854
21,30855
22,30878
23,30884
24,30890
25,30920
26,30928
27,30938
28,30955
29,30965
30,30985
31,30998
32,31022
33,31054
34,31069
35,31096
36,31144
37,31152
38,31163
39,31169
40,31186
41,31195
42,31215
43,31216
44,31224
45,31226
46,31252
47,31254
48,31258
49,31281
50,31319
51,31320
52,31346
53,31371
54,31390
55,31436
56,31437
57,31465
58,31517
59,31530
60,31545
61,31576
62,31595
63,31621
64,31637
65,31643
66,31649
67,31650
68,31660
69,31719
70,31731
71,31741
72,31771
73,31804
74,31815
75,31841
76,31859
77,31863
78,31884
79,31896
80,31899
81,31973
82,32035
83,32098
