,CID
0,8929
1,8930
2,8931
3,8933
4,8934
5,8935
6,8936
7,8937
8,8938
9,8939
10,8940
11,8941
12,8942
13,8943
14,10861
15,10862
16,12122
17,12123
18,12124
19,12125
20,12126
21,12127
22,12128
23,12346
24,12347
25,12348
26,12349
27,12350
28,12351
29,12352
30,12353
31,12354
32,12355
33,12356
34,12357
35,12358
36,12401
37,12402
38,12405
39,12406
40,12407
41,12408
42,12659
43,18061
44,18062
45,18539
46,18540
47,18541
48,19196
49,19197
50,19418
51,19419
52,19420
53,19421
54,19422
55,19423
56,19503
57,19509
58,19510
59,19671
60,19770
61,19773
62,25134
63,25135
64,25482
65,25483
66,25484
67,25485
68,25486
69,25487
70,26203
71,26204
72,26205
73,26206
74,26207
75,26208
76,26209
77,26210
78,26211
79,26212
80,26213
81,26214
82,26215
83,26216
84,26252
85,26253
86,26254
87,26255
88,26256
89,26257
90,26258
91,26259
92,26260
93,26269
94,26270
95,26271
96,26496
97,29697
98,29698
99,29699
100,32687
101,32688
102,32689
103,32721
104,33426
105,33666
106,33676
107,33705
108,33706
109,33744
110,33781
111,37260
112,37261
113,37265
114,39768
115,39769
116,39770
117,39771
118,39772
119,39773
120,39774
121,40093
122,40094
123,40095
124,40096
125,40097
126,40098
127,40594
128,40611
129,40819
130,40869
131,41008
132,41011
133,41012
134,41013
135,41014
136,41015
137,41016
138,41017
139,47395
140,47396
141,48481
142,48482
143,48483
144,48484
145,48485
146,48581
147,48582
148,48704
149,48705
150,48738
151,48739
152,48740
153,48741
154,48743
155,48751
156,48780
157,48782
158,51770
159,51771
160,51772
161,55631
162,61515
163,61516
164,61517
165,61518
166,61531
167,61714
168,61737
169,61738
170,61739
171,61740
172,61830
173,61831
174,61863
175,61864
176,61917
