,BID
0,20446
1,20458
2,20597
3,20607
4,20645
5,20682
6,20709
7,20715
8,20726
9,20740
10,20751
11,20773
12,20787
13,20790
14,20791
15,20803
16,20846
17,20868
18,20873
19,20898
20,20899
21,20926
22,20927
23,20932
24,20934
25,20947
26,20958
27,20968
28,20972
29,20978
30,20981
31,20999
32,21000
33,21001
34,21013
35,21016
36,21025
37,21027
38,21029
39,21036
40,21052
41,21080
42,21081
43,21087
44,21088
45,21089
46,21099
47,21103
48,21105
49,21121
50,21134
51,21135
52,21140
53,21144
54,21193
55,21213
56,21215
57,21234
58,21242
59,21250
60,21258
61,21264
62,21272
63,21273
64,21277
65,21285
66,21316
67,21343
68,21346
69,21358
70,21411
71,21458
72,21490
73,21518
74,21812
75,21849
76,21858
77,21938
78,22170
79,22289
80,22440
81,22474
82,22702
