,CID
0,1778
1,1779
2,2236
3,3958
4,3961
5,10090
6,10155
7,10156
8,10157
9,10176
10,10177
11,10179
12,10180
13,10181
14,10182
15,10183
16,10185
17,10186
18,10187
19,10188
20,10189
21,10191
22,10192
23,10294
24,10295
25,10299
26,10300
27,10301
28,10302
29,17039
30,17041
31,17042
32,17043
33,17044
34,17095
35,17168
36,17169
37,17170
38,17171
39,17172
40,17176
41,17177
42,17178
43,17179
44,17180
45,17181
46,17182
47,23818
48,23819
49,23820
50,23821
51,23822
52,23823
53,23824
54,23825
55,23826
56,23827
57,23828
58,23829
59,23832
60,23972
61,23973
62,23975
63,25466
64,30859
65,30860
66,31001
67,31002
68,31003
69,31004
70,31006
71,33081
72,33347
73,38433
74,38434
75,38435
76,38436
77,38437
78,38438
79,38439
80,38440
81,38441
82,38442
83,38443
84,38444
85,38445
86,38451
87,38457
88,38459
89,38460
90,38461
91,38462
92,38463
93,38464
94,38517
95,38670
96,38671
97,38672
98,38673
99,38674
100,38675
101,38677
102,38678
103,38679
104,38680
105,38681
106,38682
107,38688
108,38689
109,38690
110,40537
111,45876
112,45878
113,45968
114,45969
115,45970
116,46169
117,46171
118,46186
119,53354
120,53355
121,59565
122,59566
123,59567
124,59568
125,59569
126,59570
127,59571
128,60998
129,61038
