,customer,weight,round,length
0,"[69, 8, 81, 25, 51, 109, 110, 72]","[3, 3, 1, 1, 2, 2, 2, 1]",0,7317.136656538999
1,[69],[15],0,635.910661568
2,[44],[15],0,1423.195426924
3,"[44, 98]","[6, 9]",0,2178.501876455
4,"[98, 69]","[12, 3]",0,1497.802328775
5,"[24, 60, 59, 19, 52, 2, 1, 128, 129, 131, 0, 20, 78]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1,7302.1200798625
6,"[123, 66, 95, 65, 93, 115, 96, 120, 28]","[2, 2, 1, 1, 2, 1, 2, 1, 2]",1,7142.180118003999
7,"[107, 39, 11, 12, 38, 36, 113, 23, 114, 15, 35, 34, 33, 49]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1,9103.707075104498
8,"[92, 122, 71, 73, 76, 74, 10, 70, 90, 112, 111]","[2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1]",1,10457.793379736002
9,"[17, 97, 47, 86, 89, 88, 22, 87, 136, 61, 62, 134, 32, 80, 21]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,7194.2274115256005
