,CID
0,3349
1,3480
2,3486
3,3488
4,4010
5,5748
6,7468
7,14050
8,14051
9,14052
10,14054
11,14057
12,14059
13,14063
14,14280
15,14281
16,14282
17,14390
18,14533
19,14534
20,14592
21,14623
22,14625
23,20962
24,20963
25,20964
26,20965
27,20966
28,21227
29,21228
30,21229
31,21230
32,21274
33,21384
34,21385
35,21386
36,21425
37,21426
38,21472
39,21495
40,21505
41,21507
42,21508
43,21509
44,21510
45,27876
46,28097
47,28101
48,28212
49,28321
50,28322
51,28368
52,28369
53,35302
54,35303
55,35304
56,35305
57,35669
58,35695
59,35696
60,35697
61,35724
62,35895
63,35900
64,35985
65,35986
66,42308
67,42743
68,42746
69,42747
70,42890
71,42891
72,42893
73,42970
74,42971
75,43012
76,43013
77,43014
78,43015
79,50003
80,50350
81,50435
82,50436
83,50437
84,50438
85,50730
86,50731
87,50763
88,50764
89,50771
90,56884
91,56885
92,56886
93,57132
94,57133
95,57134
96,57135
97,57341
98,57342
99,57386
100,57406
101,57427
102,57428
103,57434
104,63462
105,63734
106,63787
107,63848
108,63849
109,63850
110,63852
111,63876
112,63883
