,customer,weight,round,length
0,"[99, 142, 143, 95, 139, 101]","[4, 4, 1, 1, 3, 2]",0,1969.060043183
1,"[21, 186, 119, 96, 103, 180, 185, 184]","[1, 1, 2, 1, 4, 2, 1, 3]",0,2372.1865008830005
2,"[135, 131, 70, 69, 111, 110]","[1, 2, 4, 4, 2, 2]",0,2029.603145172
3,"[75, 141, 140, 97, 98, 181, 182]","[2, 2, 5, 2, 2, 1, 1]",1,2133.6276352920004
4,"[189, 188, 132, 106, 107, 108, 109]","[1, 1, 1, 4, 2, 3, 3]",1,1747.668421551
5,"[159, 167, 177, 193, 1, 195, 23, 171, 113, 160, 190]","[1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1]",1,2599.821785054
6,"[13, 151, 24, 26, 202, 29, 28, 10, 16, 152]","[1, 1, 3, 2, 1, 1, 1, 1, 2, 2]",2,4400.912302403
7,"[187, 59, 175, 145, 34, 7, 6, 4, 116, 178, 179, 53, 201]","[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,3931.7311845416
8,"[163, 157, 156, 30, 120]","[9, 2, 2, 1, 1]",2,1847.205112393
9,[],[],3,0.0
10,[],[],3,0.0
11,"[199, 198, 129, 126, 9]","[1, 1, 1, 3, 1]",3,3406.0478076711
