,CID
0,11983
1,11984
2,11985
3,12430
4,12431
5,16899
6,19053
7,19054
8,25933
9,25934
10,26064
11,26065
12,26144
13,26145
14,33040
15,33041
16,33045
17,33144
18,33252
19,33253
20,33254
21,33336
22,40857
23,40858
24,40859
25,40860
26,40861
27,40870
28,40871
29,44432
30,48253
31,48387
32,48562
33,55024
34,55025
35,55026
36,55027
37,55028
38,55029
39,55030
40,55031
41,55032
42,55033
43,55034
44,55035
45,55036
46,55037
47,55038
48,55039
49,55040
50,55041
51,55042
52,55235
53,55236
54,55237
55,55238
56,55501
57,58697
