,CID
0,7160
1,7161
2,7165
3,9018
4,9019
5,9021
6,9022
7,9023
8,9024
9,9025
10,9026
11,9027
12,9028
13,9029
14,9030
15,9031
16,9032
17,9033
18,9034
19,9035
20,9036
21,9037
22,9142
23,9143
24,9145
25,9146
26,9799
27,11911
28,15800
29,15810
30,15811
31,15812
32,15813
33,15815
34,15816
35,15817
36,15818
37,15819
38,15825
39,15826
40,15827
41,15828
42,15829
43,15830
44,15833
45,15834
46,15835
47,15836
48,15837
49,15952
50,15953
51,15954
52,15955
53,15956
54,15957
55,15958
56,15959
57,15960
58,15961
59,15962
60,15969
61,15970
62,15971
63,16519
64,16520
65,19262
66,22735
67,22737
68,22739
69,22741
70,22742
71,22743
72,22744
73,22745
74,22746
75,22747
76,22748
77,22749
78,22779
79,22782
80,22783
81,22784
82,22786
83,22787
84,22788
85,22911
86,22912
87,22913
88,22914
89,22915
90,22918
91,22919
92,23310
93,25850
94,25851
95,25852
96,26074
97,26075
98,26143
99,29764
100,29765
101,29766
102,29767
103,29791
104,29792
105,29793
106,29794
107,29795
108,29796
109,29797
110,29798
111,29799
112,29800
113,29801
114,29802
115,29804
116,29805
117,29806
118,29807
119,29808
120,29809
121,29810
122,29811
123,29812
124,29813
125,29814
126,29815
127,29816
128,29817
129,29818
130,29819
131,29820
132,29827
133,29828
134,29829
135,29830
136,29831
137,29895
138,29896
139,29897
140,29898
141,29899
142,29900
143,29901
144,29902
145,29903
146,29904
147,29905
148,30392
149,30393
150,33269
151,37383
152,37384
153,37385
154,37386
155,37387
156,37388
157,37428
158,37429
159,37430
160,37431
161,37432
162,37433
163,37434
164,37513
165,37514
166,37515
167,37516
168,37517
169,37518
170,37519
171,37520
172,37521
173,37531
174,37532
175,38035
176,38036
177,38333
178,40381
179,40382
180,44412
181,44413
182,44414
183,44415
184,44416
185,44417
186,44418
187,44419
188,44420
189,44421
190,44423
191,44526
192,44527
193,44528
194,44529
195,44531
196,44532
197,44533
198,44538
199,48055
200,48337
201,48338
202,48339
203,48386
204,51872
205,51873
206,51874
207,51875
208,51877
209,51878
210,51879
211,51880
212,51881
213,51882
214,51883
215,51884
216,51885
217,51886
218,51887
219,51888
220,51889
221,51890
222,51891
223,51892
224,51893
225,51894
226,51895
227,51896
228,51897
229,51898
230,51899
231,51900
232,51901
233,51902
234,51903
235,51904
236,51972
237,51973
238,51974
239,52711
240,52712
241,52713
242,52714
243,54932
244,54933
245,55118
246,55247
247,55248
248,58665
249,58666
250,58667
251,58670
252,58671
253,58672
254,58673
255,58674
256,58675
257,58676
258,58677
259,58808
260,58809
261,58810
