,customer,weight,round,length
0,"[78, 142, 179, 103, 178, 35, 13, 168, 141, 83, 206, 205, 217, 75, 51]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,19632.556701564
1,"[65, 203, 140, 146, 157, 33, 163, 50, 159, 173, 172, 214, 210, 170]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0,7285.332600925
2,"[165, 2, 3, 52, 5, 38, 106, 154, 174, 213, 138, 212, 211, 164]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0,5989.367078676802
3,"[93, 30, 220]","[1, 1, 1]",1,32994.086706259994
4,[],[],1,0.0
5,[],[],1,0.0
