,CID
0,15490
1,19659
2,22126
3,22417
4,22445
5,22446
6,22447
7,22448
8,22449
9,22501
10,25982
11,25983
12,25984
13,25985
14,25988
15,29403
16,29404
17,36743
18,36938
19,36939
20,36955
21,37138
22,43516
23,43517
24,43587
25,43593
26,43595
27,43597
28,43599
29,43600
30,44085
31,51216
32,51218
33,51222
34,51226
35,51227
36,51228
37,51230
38,51232
39,51234
40,51236
41,51237
42,51238
43,51239
44,57898
45,57899
46,57900
47,58202
48,64370
49,64371
50,64372
51,64374
52,64375
53,64376
54,64432
55,64434
56,64708
57,64709
