,CID
0,4555
1,6100
2,6890
3,12909
4,12910
5,12911
6,12912
7,12913
8,12914
9,12916
10,12918
11,13025
12,13026
13,13027
14,13028
15,13029
16,13031
17,13132
18,13133
19,13134
20,13135
21,13136
22,13137
23,13138
24,13139
25,13151
26,20027
27,20171
28,20172
29,20173
30,20174
31,20248
32,20249
33,20250
34,20580
35,20581
36,20582
37,26980
38,26981
39,26982
40,26983
41,27090
42,27091
43,34123
44,34124
45,34125
46,34126
47,34127
48,34128
49,34241
50,34242
51,34243
52,34244
53,34245
54,34246
55,34247
56,34248
57,41366
58,41367
59,41368
60,41463
61,41464
62,41468
63,41469
64,41470
65,41494
66,41497
67,41498
68,41862
69,41863
70,49034
71,49035
72,49036
73,49037
74,49038
75,49039
76,49160
77,49161
78,49163
79,49165
80,49166
81,49248
82,49511
83,56024
84,56025
85,56026
86,56027
87,56029
88,56030
89,56059
90,56060
91,56082
92,56083
93,56084
94,56166
95,56167
96,56424
97,56450
98,56451
99,62198
100,62199
101,62200
102,62201
103,62341
104,62343
105,62344
106,62345
107,62346
108,62347
109,62833
