,tract,Base_Num,Robot_Num,Time,CO2_Emission
38,142.0,4,3,0.6778422863666667,0.8496942296875898
39,143.0,3,4,0.7989244484003056,1.0188140522238385
40,144.0,1,2,3.0767597471016668,0.8658150263968895
41,145.0,5,1,0.7163934795811944,1.3918338086753868
42,147.0,4,2,1.051686503041111,1.1282946055777283
43,148.0,2,1,0.0248359707081111,0.704327780156997
44,149.0,1,5,0.8197509212480834,0.6156420002160508
45,15.0,3,4,3.019818124094111,2.117786898508092
46,150.0,5,5,0.4201453482702778,0.5167386643177158
47,151.0,2,2,0.0511023934572222,0.5251206410619556
48,152.0,3,3,2.793198670016306,2.148189287114292
49,153.0,2,5,1.3816851418719442,1.993130135639294
50,154.0,4,2,0.5927788899986111,1.464427347668101
51,156.0,5,4,0.3280871379798333,1.2966300913487552
52,157.0,5,2,0.4559600965458334,0.3651653083608168
53,158.0,5,1,0.9914708588543334,1.0756622204237234
54,159.0,4,5,0.328885785035,0.644082045996768
55,16.0,1,3,1.5631496689706388,0.8272713777244887
56,160.0,4,2,0.0265664536543888,0.0701276756990263
57,161.0,4,2,1.43426308142775,2.236763768729544
58,162.0,4,2,0.6929572904080555,1.1115063815492752
59,163.0,3,3,0.5595735233905555,0.9444789791271704
60,164.0,5,2,2.0683357148194443,3.699729789113882
61,165.0,4,2,1.2089993507222223,3.4242796540591853
62,166.0,5,1,0.7887896139891667,0.8784669368760113
63,167.0,4,3,0.9171890916632778,1.3109872576425343
64,168.0,2,3,1.4522175598371667,2.9733449662251017
65,169.0,5,3,0.7112416718254723,0.7079016873482759
66,17.0,4,3,0.6025517584481945,1.5123310699443115
67,171.0,3,3,1.0322996818783057,1.202407984851927
68,172.0,3,1,1.7527390245775,0.8327711913298217
69,173.0,4,2,0.8387145132788889,1.7409280609566935
70,174.0,3,1,0.5272323586646112,0.4303674081125528
71,175.0,5,1,0.3641013063305278,0.6093891578711613
72,176.0,3,2,0.4560895245013889,0.5792611202885506
