,task,distance
0,"[0, 7, 11, 17]",6452.4098883999995
1,"[1, 5, 10, 15]",5171.675929999999
2,"[2, 6, 11, 15]",3848.7228158
3,"[3, 8, 12, 15]",4279.12775461
4,"[4, 9, 11, 15]",3837.0474787999997
