,tract,Base_Num,Robot_Num,CO2,Time
87,193.0,1,2,0.80738090672901,4.410586336157305
88,195.0,4,4,0.7561521157916644,0.5895715041958334
89,196.0,2,3,0.4150390422135734,0.3887512864575278
90,197.0,3,2,0.2177204949976967,0.0144443197358888
91,198.0,1,5,0.6758506540270474,1.0515170272736112
92,199.0,5,2,0.6811554121969514,0.561484895875
93,2.0,3,5,0.9997194343276894,1.2095428029975
94,202.0,3,3,0.6087269078758397,0.624148077751
95,203.0,2,4,0.7275878693407754,0.7528832664672223
96,204.0,4,2,0.0551600073053782,0.0362915250778333
97,205.0,1,4,0.4983145184285944,0.7883839924777778
98,206.0,2,3,0.6329207974883543,1.3727168108727776
99,207.0,4,3,0.7689884511584376,0.4791978501422778
100,208.0,1,5,0.5406213611598374,0.9622752046455276
101,209.0,2,5,0.612454116162575,0.561328668884111
102,21.0,3,2,0.5764906077559593,0.4966528514041668
103,210.0,5,3,1.2461916431349982,0.7919275863541667
104,211.0,3,3,0.9358160722427348,1.3768331311516666
105,212.0,4,1,0.0806209596561474,0.1155218335845
106,213.0,4,3,0.7769396754404678,0.5770919798107221
107,214.0,1,4,0.6313197312235724,1.202335543699889
108,215.0,3,3,1.1852426386935313,1.6481417973975
109,216.0,3,2,0.6070653789395375,0.7192514227251667
110,217.0,2,2,0.2580740652175698,0.7815291024454445
111,218.0,3,3,0.9989752526202924,1.0331970895163332
112,219.0,1,3,1.1967664356282364,3.8820928637924994
113,22.0,4,2,0.8580591511583708,1.766810838526111
114,220.0,3,2,1.8044548579857167,2.650588438015278
115,221.0,3,3,0.3301116755796172,0.2488395820811111
116,222.0,3,4,0.6147942400276362,0.9813716575994446
117,223.0,2,2,0.0721974680160022,0.0890910176333333
118,224.0,2,4,1.111448704540929,1.8024853611873888
119,225.0,4,2,1.681325916126013,1.9767143037832504
120,226.0,5,1,0.529722812536388,0.9381570776481944
121,227.0,2,3,0.865981388894889,1.0920815110560833
122,228.0,1,3,1.1897650147556948,2.6734507804939165
123,229.0,4,3,1.2011044437655576,0.9193606251655556
124,23.0,4,3,1.7968542402887346,2.081912071946861
125,230.0,2,3,0.8370633196645575,0.8097106376671388
126,231.0,1,3,0.268498713443655,0.7586395857894445
127,232.0,1,4,1.1604118885182322,3.091833440356111
128,233.0,2,2,1.451675508428342,4.223995650166945
129,234.0,3,5,1.312991049340563,1.7993044443111113
130,235.0,4,3,0.9004289251192062,0.729244587260861
131,236.0,5,2,0.6893206411326218,1.039619606778611
132,237.0,3,3,0.7729037433335412,1.0366732985902778
133,238.0,4,2,0.701329696800802,0.6646594517165555
134,239.0,3,3,0.5105287099195545,0.8202021044296389
135,24.0,1,5,0.7728330355034472,1.852252863215
136,240.0,2,2,0.8312924379278555,2.5551013125358613
137,241.0,3,2,0.6764367462814432,0.8472344228172223
138,242.0,5,1,0.0462379714632005,0.0645285578155555
139,243.0,5,3,0.9479943853951494,0.9115265851523612
140,244.0,3,3,0.7009874228242,0.7368266896152221
141,245.0,4,3,1.1812123408880173,1.5044111388852777
142,246.0,1,4,0.5660661669560034,0.9349194875149722
143,247.0,3,4,1.392757534380248,0.8737453652319442
144,248.0,3,3,1.102326627045892,1.4548918461525
145,249.0,2,4,1.6546506217764398,1.1232848436469445
146,25.0,4,2,0.512964965822993,0.4666018297534722
147,250.0,1,5,0.7078339704761278,1.1468317031363886
148,251.0,2,3,0.7072875971815794,0.6920145413969444
149,252.0,4,2,0.3034526194682052,0.0681818534955555
150,253.0,1,2,1.7448823942891478,7.303144993033055
151,254.0,1,2,1.1912004233778242,5.247782441509999
152,255.0,1,2,1.5193384648404225,4.424289713911638
153,256.0,2,5,1.511443927644535,1.6931777856375
154,257.0,2,2,0.238676543043395,0.9525006476618888
155,258.0,3,3,0.6499893013185323,0.7429084290430833
156,260.0,1,5,1.93692097187284,4.212427838087222
157,261.0,2,4,0.7133563314479843,0.955054872993889
158,262.0,2,4,0.6761366991628326,0.6911093864663889
159,263.0,4,2,0.6084731749686809,0.8397815340216667
160,264.0,3,4,0.5241238501601337,0.7828375617630279
161,265.0,1,1,0.4312537220150683,2.422773719185777
162,266.0,2,1,0.8161187730679538,3.063483433936944
163,268.0,1,3,1.262517346810757,2.8155214295311386
164,269.0,1,4,1.041284153601279,2.165677531160277
165,27.0,1,3,0.5814782911039815,2.309955095225834
166,270.0,1,1,0.7146947736967566,4.015139178071666
167,271.0,5,3,2.5414568452497086,0.0636717003127777
168,272.0,2,4,0.843705987242093,0.8000219778348612
169,273.0,2,3,0.8985197961121856,1.2326155343938332
170,274.0,1,5,0.4816788716269481,1.0570398360091666
171,276.0,4,2,0.2143769786470719,0.5201626575751667
172,277.0,5,1,0.0585933622226261,0.1147068351333333
173,278.0,5,1,0.1056826779123105,0.3160042441172222
174,279.0,1,3,0.4432978224080853,0.9582301638577778
175,28.0,2,4,1.1083811006492903,1.4134507471744442
176,280.0,3,3,0.7123509024679955,0.5295909184952777
177,281.0,1,4,0.619857775748526,1.2828922331080557
178,282.0,2,5,0.9145590139947952,0.6848356142323332
179,283.0,4,3,1.01813049597623,0.5937520748808334
180,284.0,1,5,0.5701490692532774,1.0206874514047222
181,285.0,2,1,0.0193846858604537,0.0845325186977777
182,286.0,5,4,1.3051535024331653,1.9618824957461112
183,287.0,4,4,1.7988363514502228,0.6849208769632222
