,task,distance
0,"[0, 8, 12, 16]",7342.4616518
1,"[1, 9, 10, 17]",6825.5609893
2,"[2, 5, 11, 17]",6778.7768112
3,"[3, 6, 13, 19]",6498.899941
4,"[4, 7, 14, 15]",7176.853994440001
