,customer,weight,round,length
0,"[9, 18, 27, 20]","[1, 2, 1, 1]",0,1881.8042071999998
1,"[4, 26]","[2, 3]",0,1930.1696919
2,"[14, 3, 24]","[2, 2, 1]",0,1423.7721768
3,"[5, 6, 19]","[1, 1, 3]",0,2109.6012913
4,"[23, 31, 15, 8]","[1, 2, 1, 1]",0,1624.3641487
5,"[43, 7, 17]","[2, 1, 2]",1,1486.8782711
6,"[13, 33, 1]","[1, 1, 3]",1,2264.627251
7,[28],[5],1,1760.3092292
8,"[12, 11, 16]","[3, 1, 1]",1,1384.8509179
9,"[21, 2, 29]","[1, 1, 3]",1,2052.3599421
10,"[38, 53, 36]","[3, 1, 1]",2,1754.627967
11,[38],[4],2,160.323388
12,"[40, 51, 30, 49]","[1, 1, 1, 2]",2,784.67554541
13,[39],[4],2,160.323388
14,[39],[5],2,160.323388
15,[],[],3,0.0
16,[],[],3,0.0
17,[82],[1],3,2649.973064
18,[],[],3,0.0
19,[],[],3,0.0
