,customer,weight,round,length
0,"[70, 48]","[2, 3]",0,2716.0039798999996
1,[59],[5],0,4364.619036
2,"[54, 57]","[3, 2]",0,2680.6751944
3,"[52, 61, 48]","[1, 3, 1]",0,2697.5818908
4,"[65, 58]","[4, 1]",0,2990.8297588
5,"[56, 45, 60]","[1, 2, 2]",1,2838.7462093999998
6,[37],[4],1,2504.461738
7,[46],[5],1,3687.299364
8,"[60, 47, 35]","[1, 1, 3]",1,4250.67426
9,"[46, 34, 50]","[1, 1, 3]",1,2551.1521676
10,[32],[5],2,1690.355321
11,"[41, 93, 63]","[3, 1, 1]",2,2000.2934959
12,"[78, 75]","[1, 3]",2,1237.1331503000001
13,"[44, 71]","[2, 3]",2,1558.5572225
14,"[72, 71]","[4, 1]",2,1337.7777486
15,[85],[5],3,560.4067478
16,[99],[5],3,1546.5947308
17,"[88, 101, 99]","[3, 1, 1]",3,923.9624106
18,[108],[5],3,1194.7811556
19,"[100, 105, 94]","[3, 1, 1]",3,803.60885223
20,[],[],4,0.0
21,[],[],4,0.0
22,[],[],4,0.0
23,"[0, 10]","[2, 2]",4,3421.762938
24,[],[],4,0.0
