,tract,Base_Num,Robot_Num,Time_6,CO2_Emission
135,24.0,1,2,3.8239759653713055,1.002675197371221
136,240.0,1,2,4.213495207041112,1.3595735373626223
137,241.0,1,1,5.968305731843,1.0623584202680538
138,242.0,1,1,1.1130765060615555,0.1981276180789568
139,243.0,1,2,4.886443632085889,1.65709306211043
140,244.0,1,2,4.293038810824667,1.257525676699067
141,245.0,1,2,5.217943030543888,1.7838418895252928
142,246.0,1,1,5.128886886267501,0.9129418657556152
143,247.0,1,3,4.182453336786445,1.978718571993859
144,248.0,1,2,4.829723851963333,1.5034482096087618
145,249.0,1,3,4.964969254423611,2.5493394777458827
146,25.0,1,1,4.267182794320222,0.7595585373889995
147,250.0,1,2,2.988239756925194,0.9211420150575396
148,251.0,1,2,3.1009928291317777,1.042729074363574
149,252.0,1,1,2.454051515490278,0.4368211697572694
150,253.0,2,1,1.759142644717778,1.854627327173466
151,254.0,1,2,5.247782441509999,1.1912004233778242
152,255.0,1,2,4.424289713911638,1.5193384648404225
153,256.0,1,3,5.237722679109277,2.0129199164733365
154,257.0,1,1,1.8667627539604723,0.3322837702049641
155,258.0,1,1,5.758580866693194,1.0250273942713886
156,260.0,1,3,5.866966605969444,2.154910531238293
157,261.0,1,2,2.954694026378056,0.9228544071868114
158,262.0,1,2,3.365251752598,1.0720918726223645
159,263.0,1,1,5.820318930869167,1.0360167696947116
160,264.0,1,1,4.250228595030028,0.756540689915345
161,265.0,1,1,2.422773719185777,0.4312537220150683
162,266.0,1,2,4.4264283904158335,1.4919618334392413
163,268.0,1,2,4.451453894666416,1.390894082124374
164,269.0,1,2,3.550436593814444,1.2394851466356491
165,27.0,1,1,4.1097603474910285,0.731537341853403
166,270.0,1,1,4.015139178071666,0.7146947736967566
167,271.0,2,1,0.0636717003127777,2.8714004499082373
168,272.0,1,2,3.347161528039,1.1449867821630906
169,273.0,1,2,3.956744486652944,1.1757877721213588
170,274.0,1,1,3.8735621291353057,0.6894940589860844
171,276.0,1,1,2.253992637133056,0.4012106894096839
172,277.0,1,1,3.092066280668056,0.5503877979589139
173,278.0,1,1,1.4814681626508337,0.2637013329518483
174,279.0,1,1,3.2716388333095274,0.5823517123290959
175,28.0,1,2,4.618193001081639,1.578010489897353
176,280.0,1,2,3.263734342763583,1.0750285795435746
177,281.0,1,1,4.737167662082166,0.8432158438506255
178,282.0,1,2,3.838866177538472,1.3299852236993015
179,283.0,1,2,4.654500007351971,1.5497115682960785
180,284.0,1,1,4.904147010842388,0.872938167929945
181,285.0,1,1,1.005969613810889,0.1790625912583382
182,286.0,1,2,5.0239255854573335,1.6814397289931036
183,287.0,1,3,4.281713073450334,2.2488376589538253
184,288.0,1,2,3.5102736930395837,1.1072834126483844
185,289.0,2,1,0.0662905636,5.16372026300958
186,29.0,1,1,4.556688677516222,0.8110905845978875
187,3.0,1,1,4.614730187933916,0.821421973452237
188,30.0,1,1,4.811195838576083,0.8563928592665427
189,31.0,1,2,4.4584519235526665,1.39818222685349
190,32.0,1,2,4.632810557484556,1.5769868149206283
191,33.0,1,1,5.833048281282222,1.0382825940682354
192,34.0,1,1,5.705777404151001,1.0156283779388782
193,35.0,1,1,1.822133021184556,0.3243396777708509
194,37.0,1,1,1.7975103902722225,0.3199568494684556
195,4.0,1,4,4.797321420142861,3.102833291790681
196,40.0,1,1,5.857413875621583,1.0426196698606418
197,41.0,1,4,2.935972669666666,1.6340927569182375
198,42.0,1,2,5.210891994431638,1.6187958021575943
199,44.0,1,1,2.3935400148591386,0.4260501226449266
200,45.0,1,3,3.852160942945,2.006141960366669
201,46.0,1,1,4.981583553250695,0.8867218724786237
202,47.0,2,3,5.089772603361111,3.2861171201734387
203,48.0,1,1,5.90110385438,1.05039648607964
204,5.0,1,1,4.641134356849028,0.826121915519127
205,50.0,1,3,5.122732003920722,2.3294553646272758
206,52.0,1,1,0.6970188268458334,0.1240693511785583
207,54.0,1,2,5.376595283133139,1.686576315312002
208,55.0,2,1,3.5397292498180555,3.5170631940045216
209,56.0,1,2,5.340654628338333,1.6269402130105273
210,57.0,1,2,3.662060983087972,1.2818488978809313
211,58.0,1,1,2.635019354351222,0.4690334450745175
212,59.0,1,1,1.8874996999666669,0.3359749465940666
213,6.0,1,1,1.4557197579752776,0.2591181169195994
214,60.0,1,3,5.378722046282084,2.215314465110642
215,61.0,1,2,5.797919467206222,1.759947578459284
216,62.0,1,5,4.956772489040195,2.958307645281252
217,63.0,1,1,0.099482478994,0.017707881260932
218,64.0,1,2,3.616745043461944,1.191369710246086
219,67.0,1,2,2.791847966788056,0.9346159089214282
220,68.0,1,2,3.897193955806444,1.3720157489678118
221,7.0,1,3,4.325477931837778,1.906845476740632
222,70.0,1,2,5.925129353697112,1.8482741114914465
223,71.0,1,2,5.819567589003803,1.8649806328695515
224,72.0,1,5,5.4921760251385,2.1858821797656485
225,75.0,1,1,4.546455642702971,0.8092691044011288
226,76.0,1,1,5.893389195139111,1.0490232767347618
227,78.0,1,1,0.4939644026227778,0.0879256636668544
228,8.0,1,1,4.404515324217361,0.7840037277106903
229,80.0,2,1,5.196170423029583,2.424691231161185
230,81.0,1,1,2.3157389413251117,0.4122015315558698
231,82.0,1,1,4.743533057322222,0.8443488842033554
232,83.0,1,4,4.314864712433889,2.002987551976712
233,85.0,1,1,3.1996531253422225,0.5695382563109156
234,86.0,1,1,3.010891535228333,0.5359386932706433
235,88.0,1,2,4.982770751753889,1.6612851477912682
236,89.0,1,2,4.788643816691112,1.4564277051671222
237,9.0,1,2,3.918072429759167,1.234081268625901
238,90.0,1,1,3.879096426660861,0.6904791639456331
239,91.0,1,1,0.438199616325,0.07799953170585
240,92.0,1,2,5.87390561783375,1.8612577317926609
241,93.0,1,2,5.925538906632833,2.0052603160132145
242,94.0,1,4,5.312643248595225,2.644689232221225
243,95.0,1,4,4.769726755380667,3.1746378337007206
244,96.0,1,2,5.256744567608917,1.6095769022489208
245,97.0,1,1,4.838515332880834,0.8612557292527885
246,98.0,1,1,0.8743874259491666,0.1556409618189516
247,99.0,1,2,4.83837250131175,1.6078213380506654
