,customer,weight,round,length
0,"[78, 142, 83, 141, 168, 13, 35, 103, 179, 178, 206, 205, 217, 75, 51]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,19632.556701564
1,"[165, 2, 3, 52, 5, 38, 106, 154, 174, 213, 138, 212, 211, 164]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0,5989.367078676802
2,"[170, 210, 214, 172, 173, 159, 50, 163, 33, 157, 146, 140, 203, 65]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,7285.332600925
3,"[93, 30, 220]","[1, 1, 1]",1,32994.086706259994
4,[],[],1,0.0
5,[],[],1,0.0
