,customer,weight,round,length
0,"[36, 68, 94, 85, 41, 43, 40, 52, 15, 110, 87, 95, 30]","[1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0,3353.5856587999997
1,"[89, 67, 42, 34, 88, 26, 28, 45, 75, 48, 21, 27, 66]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",0,1565.960466645
2,"[39, 9, 90, 37, 8, 125, 107, 38, 35, 69, 76, 44, 70]","[1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,2840.886626292
3,"[117, 83, 77, 55, 47, 81, 1, 54, 80, 17, 114, 3, 108]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]",1,3115.0222906999998
4,"[115, 92, 106, 96, 2, 5, 73, 29, 74, 56, 104, 16]","[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2]",1,2923.49325571
5,"[124, 101, 112, 78, 53, 84, 103, 116, 102, 105, 91, 46, 109, 118, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,4305.3946892700005
6,"[23, 97, 82, 11, 7, 33, 59, 32, 60, 0, 98, 99, 49]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2]",2,633.4979874092
7,"[113, 10, 122, 12, 100, 65, 61, 64, 121, 63, 62, 14, 119, 13]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",2,3247.9433619600004
8,"[20, 19, 24, 79, 86, 57, 71, 123, 111, 31, 22]","[1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2]",2,4321.412182239999
9,[],[],3,0.0
10,"[18, 25, 126, 51, 58, 93, 6, 120, 50]","[1, 1, 1, 2, 4, 1, 1, 3, 1]",3,3173.4766752200003
11,[72],[1],3,2252.60304784
