,CID
0,4445
1,4446
2,4448
3,4450
4,4468
5,4469
6,4606
7,4607
8,5063
9,5065
10,5066
11,5459
12,5460
13,5461
14,5912
15,5913
16,5914
17,6032
18,6033
19,6035
20,6036
21,6037
22,6191
23,6437
24,6438
25,6496
26,6497
27,6498
28,6499
29,6500
30,6501
31,6502
32,6504
33,9908
34,9909
35,9910
36,10134
37,10135
38,10136
39,10137
40,11015
41,11016
42,11017
43,11018
44,11070
45,11071
46,11072
47,11073
48,11171
49,11172
50,11894
51,11895
52,16741
53,16746
54,16747
55,16748
56,16749
57,16750
58,16751
59,18024
60,18025
61,18026
62,18027
63,18188
64,18191
65,18192
66,18193
67,18194
68,18195
69,18965
70,24995
71,24996
72,30547
73,32161
74,32163
75,32164
76,32937
77,33604
78,38250
79,38251
80,39685
81,39686
82,39687
83,39688
84,39689
85,47071
86,47072
87,47073
88,47074
89,47121
90,47126
91,47127
92,47128
93,47598
94,47599
95,52746
96,52754
97,54124
98,54125
99,54126
100,54127
101,54138
102,54139
103,54140
104,54141
105,54148
106,54149
107,54150
108,54240
109,54241
110,54242
111,54243
112,60575
113,60656
114,60657
115,60658
116,60659
117,60660
118,60661
119,60662
120,61331
