,BID
0,9036
1,9092
2,9172
3,9176
4,9246
5,9267
6,9305
7,9382
8,9722
9,9733
10,9777
11,9798
12,9802
13,9866
14,9873
15,9918
16,9920
17,9925
18,9927
19,9941
20,9950
21,9952
22,9955
23,9959
24,9984
25,9988
26,9993
27,10010
28,10018
29,10026
30,10033
31,10037
32,10045
33,10046
34,10050
35,10056
36,10062
37,10067
38,10074
39,10081
40,10087
41,10091
42,10092
43,10095
44,10096
45,10109
46,10124
47,10129
48,10137
49,10151
50,10153
51,10163
52,10175
53,10180
54,10204
55,10219
56,10225
57,10226
58,10234
59,10235
60,10236
61,10237
62,10252
63,10276
64,10291
65,10297
66,10302
67,10305
68,10329
69,10333
70,10336
71,10337
72,10338
73,10353
74,10354
75,10364
76,10368
77,10370
78,10371
79,10374
80,10377
81,10380
82,10383
83,10389
84,10391
85,10395
86,10402
87,10409
88,10414
89,10416
90,10418
91,10424
92,10426
93,10428
94,10431
95,10435
96,10436
97,10438
98,10439
99,10463
100,10466
101,10472
102,10479
103,10480
104,10483
105,10488
106,10499
107,10510
108,10511
109,10523
110,10528
111,10532
112,10545
113,10560
114,10575
115,10577
116,10579
117,10589
118,10591
119,10618
120,10619
121,10636
122,10661
123,10666
124,10692
125,10749
126,10760
127,10765
128,10767
129,10769
130,10793
131,10803
132,10818
133,10819
134,10821
135,10827
136,10828
137,10831
138,10833
139,10835
140,10844
141,10851
142,10863
143,10867
144,10869
145,10873
146,10899
147,10904
148,10905
149,10915
150,10917
151,10919
152,10929
153,10947
154,10963
155,10973
156,10980
157,10986
158,10997
159,11021
160,11025
161,11030
162,11036
163,11043
164,11050
165,11055
166,11078
167,11127
168,11154
169,11162
170,11201
171,11205
172,11243
173,11245
174,11268
175,11290
176,11291
177,11359
178,11362
179,11363
180,11373
181,11412
182,11435
183,11439
184,11609
185,11617
