,CID
0,4812
1,5866
2,9136
3,9137
4,9138
5,9531
6,9532
7,9533
8,11626
9,15935
10,15936
11,15937
12,15951
13,18566
14,18567
15,18568
16,18569
17,18570
18,18571
19,18734
20,19328
21,19329
22,25463
23,25464
24,25465
25,25497
26,26115
27,30034
28,32528
29,32677
30,32678
31,37507
32,40086
33,40140
34,40650
35,44959
36,44960
37,44961
38,44962
39,47617
40,47618
41,47746
42,47750
43,47763
44,47832
45,47833
46,52358
47,52359
48,52360
49,54522
50,54523
51,54524
52,54525
53,54526
54,54527
55,54654
56,54692
57,54693
58,58792
59,58878
60,58879
61,58880
62,61036
63,61037
