,CID
0,1771
1,1772
2,1773
3,3836
4,5736
5,5738
6,6128
7,9725
8,9726
9,9727
10,9728
11,9729
12,9730
13,9731
14,9732
15,9735
16,11267
17,11268
18,11269
19,16332
20,16333
21,16334
22,16335
23,16337
24,16338
25,16339
26,16340
27,16341
28,16342
29,16343
30,16344
31,16345
32,16382
33,16384
34,16385
35,16386
36,16387
37,16388
38,16389
39,16390
40,16391
41,18309
42,23210
43,23222
44,23223
45,23225
46,23226
47,23227
48,23228
49,23230
50,23231
51,25935
52,30319
53,30323
54,30324
55,30325
56,30326
57,30327
58,30328
59,30329
60,30338
61,30340
62,30341
63,30342
64,30343
65,30344
66,33013
67,37878
68,37879
69,37880
70,37882
71,37883
72,37885
73,37886
74,37887
75,37888
76,37889
77,39789
78,45269
79,45272
80,52549
81,52552
82,52553
83,52554
84,52555
85,52556
86,52557
87,52558
88,52559
89,54375
90,59123
91,59124
92,59125
93,59126
94,59127
95,59128
96,59129
97,59130
98,59131
99,59132
100,59133
101,59134
102,59135
103,59136
104,59148
105,59150
