FID,FID_road_s,FID_Georgi,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Leng,Length,Lat,Lon
276,110,110,110485841060,Beaver St,M,S1400,0.004838267,484.1589966,30.35309982,-97.70179749
277,98,98,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35309982,-97.69909668
278,99,99,110485901620,Little Walnut Dr,M,S1400,0.001131185,113.2949982,30.35309982,-97.69909668
279,103,103,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35309982,-97.69909668
280,106,106,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929,30.35309982,-97.69909668
281,116,116,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35569954,-97.6964035
282,117,117,110485716040,Home Pl E,M,S1400,0.001497161,148.2140045,30.35569954,-97.6964035
283,121,121,110485716041,Home Pl W,M,S1400,0.001219553,121.0660019,30.35569954,-97.6964035
284,142,142,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35569954,-97.6964035
285,128,128,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35740089,-97.69789886
286,129,129,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.35740089,-97.69789886
287,137,137,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.35740089,-97.69789886
288,138,138,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35740089,-97.69789886
289,142,142,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35829926,-97.69490051
290,143,143,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073,30.35829926,-97.69490051
291,153,153,110485886617,W Fawnridge Dr,M,S1400,0.001115352,110.689003,30.35829926,-97.69490051
292,163,163,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35829926,-97.69490051
293,144,144,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35840034,-97.68859863
294,145,145,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.35840034,-97.68859863
295,148,148,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.35840034,-97.68859863
296,149,149,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35840034,-97.68859863
297,161,161,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.36039925,-97.69660187
298,162,162,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.36039925,-97.69660187
299,166,166,110485841904,Cooper Dr,M,S1400,0.003010726,299.0289917,30.36039925,-97.69660187
300,167,167,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.36039925,-97.69660187
301,38,38,110485896326,Sam Rayburn Dr,M,S1400,0.002212022,236.4049988,30.34799957,-97.6989975
302,39,39,110485901502,John N Garner Cir,M,S1400,0.0011384,110.4499969,30.34799957,-97.6989975
303,40,40,110485906707,John Nance Garner Cir,M,S1400,0.0011384,110.4499969,30.34799957,-97.6989975
304,41,41,110485901502,John N Garner Cir,M,S1400,0.0011384,110.4499969,30.34799957,-97.6989975
305,42,42,110485906707,John Nance Garner Cir,M,S1400,0.0011384,110.4499969,30.34799957,-97.6989975
