FID,FID_road_s,FID_Georgi,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Leng,Length,Lat,Lon
62,36,36,11012812858966, , ,S1780,0.003937761,389.4580078,30.34670067,-97.69819641
63,25,25,110485879039,Purnell Dr,M,S1400,0.002198793,233.4199982,30.34679985,-97.70539856
64,26,26,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059,30.34679985,-97.70539856
65,30,30,110485880231,Wonsley Dr W,M,S1400,0.002119953,210.1560059,30.34679985,-97.70539856
66,31,31,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34740067,-97.69539642
67,36,36,11012812858966, , ,S1780,0.003937761,389.4580078,30.34740067,-97.69539642
68,46,46,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34740067,-97.69539642
69,32,32,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34749985,-97.7009964
70,43,43,1103571766677,S Red Oak Cir,M,S1400,0.000898561,96.2888031,30.34749985,-97.7009964
71,45,45,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34749985,-97.7009964
72,44,44,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34830093,-97.70279694
73,45,45,110485889620,White Oak Dr,M,S1400,0.002674765,264.3880005,30.34830093,-97.70279694
74,50,50,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34830093,-97.70279694
75,46,46,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34840012,-97.69480133
76,48,48,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34840012,-97.69480133
77,85,85,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.34840012,-97.69480133
78,48,48,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
79,49,49,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
80,55,55,11012812897100, , ,S1780,0.000883655,94.21240234,30.34910011,-97.6964035
81,49,49,110485897354,Barwood Park,M,S1400,0.001941808,178.8789978,30.34910011,-97.6964035
82,52,52,11012812897096, , ,S1780,0.003854297,404.8080139,30.34910011,-97.6964035
83,60,60,11012812897096, , ,S1780,0.003854297,404.8080139,30.34910011,-97.6964035
84,50,50,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.3491993,-97.70230103
85,51,51,110485879123,Red Oak Cir,M,S1400,0.001960056,194.9400024,30.3491993,-97.70230103
86,53,53,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.3491993,-97.70230103
87,53,53,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34959984,-97.70200348
88,57,57,110485882604,Jennifer Ln,M,S1400,0.000941837,92.99549866,30.34959984,-97.70200348
89,58,58,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.34959984,-97.70200348
90,54,54,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.34970093,-97.70300293
91,56,56,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.34970093,-97.70300293
92,79,79,110485841176,Bolles Cir,M,S1400,0.003290623,333.8649902,30.34970093,-97.70300293
93,55,55,11012812897100, , ,S1780,0.000883655,94.21240234,30.34980011,-97.69589996
94,61,61,11012812858153, , ,S1780,0.000670461,66.06269836,30.34980011,-97.69589996
95,63,63,11012812897098, , ,S1780,0.000498176,52.21319962,30.34980011,-97.69589996
96,56,56,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.35000038,-97.70290375
97,57,57,110485882604,Jennifer Ln,M,S1400,0.000941837,92.99549866,30.35000038,-97.70290375
98,67,67,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.35000038,-97.70290375
99,58,58,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35000038,-97.7016983
100,59,59,110485844079,Oertli Ln,M,S1400,0.004028539,395.3880005,30.35000038,-97.7016983
101,75,75,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35000038,-97.7016983
102,60,60,11012812897096, , ,S1780,0.003854297,404.8080139,30.35009956,-97.69650269
103,61,61,11012812858153, , ,S1780,0.000670461,66.06269836,30.35009956,-97.69650269
104,78,78,11012812897099, , ,S1780,0.00105098,115.2369995,30.35009956,-97.69650269
105,62,62,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35020065,-97.69850159
106,64,64,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35020065,-97.69850159
107,70,70,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985,30.35020065,-97.69850159
108,63,63,11012812897098, , ,S1780,0.000498176,52.21319962,30.35020065,-97.69550323
109,66,66,11012812858121, , ,S1780,0.000901979,89.10389709,30.35020065,-97.69550323
110,81,81,11012812897097, , ,S1780,0.002173832,224.1309967,30.35020065,-97.69550323
111,64,64,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35040092,-97.6984024
112,65,65,110485883791,Primrose St,M,S1400,0.001355409,133.1289978,30.35040092,-97.6984024
113,71,71,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35040092,-97.6984024
114,67,67,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.35079956,-97.70279694
115,72,72,1103691406467,Guadalupe St,M,S1400,0.001635749,177.6340027,30.35079956,-97.70279694
116,79,79,110485841176,Bolles Cir,M,S1400,0.003290623,333.8649902,30.35079956,-97.70279694
117,68,68,110485779348,N Lamar Blvd,M,S1200,0.004492485,432.7210083,30.35079956,-97.709198
118,69,69,110485844497,Powell Ln W,M,S1400,0.006918805,690.6240234,30.35079956,-97.709198
119,109,109,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35079956,-97.709198
120,70,70,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985,30.35079956,-97.70010376
121,76,76,110485845491,Walnut Dr E,M,S1400,0.002428089,238.0859985,30.35079956,-97.70010376
122,82,82,110485842317,Dungan St,M,S1400,0.002078358,220.0429993,30.35079956,-97.70010376
123,73,73,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095,30.35099983,-97.69740295
124,74,74,110485884038,Rosemary Ln,M,S1400,0.001147919,125.7089996,30.35099983,-97.69740295
125,77,77,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095,30.35099983,-97.69740295
126,78,78,11012812897099, , ,S1780,0.00105098,115.2369995,30.35110092,-97.69680023
127,81,81,11012812897097, , ,S1780,0.002173832,224.1309967,30.35110092,-97.69680023
128,84,84,11012812897101, , ,S1780,0.00106184,112.3199997,30.35110092,-97.69680023
129,82,82,110485842317,Dungan St,M,S1400,0.002078358,220.0429993,30.35160065,-97.69960022
130,83,83,110485714181,Oak Plz,M,S1400,0.002646231,258.0660095,30.35160065,-97.69960022
131,90,90,110485842317,Dungan St,M,S1400,0.002078358,220.0429993,30.35160065,-97.69960022
132,85,85,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35199928,-97.69239807
133,87,87,1103571769587, , ,S1400,0.00035822,35.56650162,30.35199928,-97.69239807
134,125,125,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35199928,-97.69239807
135,86,86,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35210037,-97.69989777
136,92,92,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35210037,-97.69989777
137,96,96,110485841060,Beaver St,M,S1400,0.004838267,484.1589966,30.35210037,-97.69989777
138,90,90,110485842317,Dungan St,M,S1400,0.002078358,220.0429993,30.35250092,-97.69889832
139,91,91,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35250092,-97.69889832
140,93,93,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35250092,-97.69889832
141,92,92,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35280037,-97.69930267
142,93,93,110485832830,Pecan Dr,M,S1400,0.003858807,404.7489929,30.35280037,-97.69930267
143,98,98,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35280037,-97.69930267
144,97,97,110485901619,Little Walnut Dr,M,S1400,0.00096628,95.6026001,30.35309982,-97.69809723
145,99,99,110485901620,Little Walnut Dr,M,S1400,0.001131185,113.2949982,30.35309982,-97.69809723
146,102,102,110485901618,Little Walnut Dr,M,S1400,0.000433206,46.43270111,30.35309982,-97.69809723
147,100,100,110485878174,Laverty Pl,M,S1400,0.00091086,97.3585968,30.35339928,-97.69589996
148,101,101,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057,30.35339928,-97.69589996
149,104,104,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057,30.35339928,-97.69589996
150,103,103,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35350037,-97.69879913
151,107,107,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35350037,-97.69879913
152,123,123,110485715578,Deen Ave,M,S1400,0.00393749,414.256012,30.35350037,-97.69879913
153,104,104,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057,30.35359955,-97.69609833
154,108,108,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057,30.35359955,-97.69609833
155,111,111,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35359955,-97.69609833
156,105,105,1103691406466,Guadalupe St,M,S1400,0.002737465,290.8129883,30.35409927,-97.7009964
157,106,106,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929,30.35409927,-97.7009964
158,114,114,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929,30.35409927,-97.7009964
159,107,107,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35420036,-97.69750214
160,108,108,110485882068,Florence Dr,M,S1400,0.002301517,228.0590057,30.35420036,-97.69750214
161,116,116,1105598230624,Georgian Dr,M,S1400,0.02095457,2201.26001,30.35420036,-97.69750214
162,109,109,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35449982,-97.70410156
163,110,110,110485841060,Beaver St,M,S1400,0.004838267,484.1589966,30.35449982,-97.70410156
164,113,113,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35449982,-97.70410156
165,111,111,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35510063,-97.69509888
166,115,115,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35510063,-97.69509888
167,117,117,110485716040,Home Pl E,M,S1400,0.001497161,148.2140045,30.35510063,-97.69509888
168,113,113,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.3553009,-97.70290375
169,114,114,110485877184,Elliott St W,M,S1400,0.004470968,447.3739929,30.3553009,-97.70290375
170,122,122,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.3553009,-97.70290375
171,115,115,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35540009,-97.69480133
172,130,130,110485866745,Capitol Dr,M,S1400,0.005639431,577.9840088,30.35540009,-97.69480133
173,132,132,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35540009,-97.69480133
174,118,118,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.3560009,-97.69879913
175,119,119,110485844073,Oakley Ct,M,S1400,0.000286531,28.2798996,30.3560009,-97.69879913
176,124,124,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.3560009,-97.69879913
177,120,120,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35619926,-97.69750214
178,121,121,110485716041,Home Pl W,M,S1400,0.001219553,121.0660019,30.35619926,-97.69750214
179,127,127,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35619926,-97.69750214
180,122,122,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35659981,-97.70130157
181,123,123,110485715578,Deen Ave,M,S1400,0.00393749,414.256012,30.35659981,-97.70130157
182,134,134,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35659981,-97.70130157
183,124,124,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.3567009,-97.69830322
184,126,126,110485714097,Jan Ct,M,S1400,0.000663218,65.83139801,30.3567009,-97.69830322
185,128,128,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.3567009,-97.69830322
186,125,125,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35680008,-97.6894989
187,131,131,110485843721,Middle Ln,M,S1400,0.004470927,442.480011,30.35680008,-97.6894989
188,139,139,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35680008,-97.6894989
189,127,127,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35700035,-97.69709778
190,129,129,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.35700035,-97.69709778
191,152,152,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35700035,-97.69709778
192,130,130,110485866745,Capitol Dr,M,S1400,0.005639431,577.9840088,30.35740089,-97.69069672
193,131,131,110485843721,Middle Ln,M,S1400,0.004470927,442.480011,30.35740089,-97.69069672
194,151,151,110485843721,Middle Ln,M,S1400,0.004470927,442.480011,30.35740089,-97.69069672
195,132,132,110485715672,East Dr,M,S1400,0.004843723,516.8140259,30.35759926,-97.69339752
196,133,133,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073,30.35759926,-97.69339752
197,136,136,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073,30.35759926,-97.69339752
198,134,134,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35759926,-97.70010376
199,135,135,1105321422237,Payton Gin Rd,M,S1400,0.000191552,19.01479912,30.35759926,-97.70010376
200,140,140,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35759926,-97.70010376
201,136,136,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073,30.35790062,-97.69409943
202,143,143,110485886615,E Fawnridge Dr,M,S1400,0.003109675,308.3200073,30.35790062,-97.69409943
203,150,150,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.35790062,-97.69409943
204,137,137,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.3579998,-97.69920349
205,141,141,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.3579998,-97.69920349
206,165,165,110485879475,Shepard Dr,M,S1400,0.003273476,350.4700012,30.3579998,-97.69920349
207,138,138,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35810089,-97.69740295
208,146,146,110485877478,Grissom Ct,M,S1400,0.00058008,57.48649979,30.35810089,-97.69740295
209,156,156,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35810089,-97.69740295
210,139,139,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35820007,-97.688797
211,144,144,1104475062242,N I- 35 Svc Rd,M,S1640,0.022622804,2377.669922,30.35820007,-97.688797
212,147,147,1104475062440, , ,S1630,0.00038119,41.19260025,30.35820007,-97.688797
213,140,140,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35829926,-97.6996994
214,141,141,110485885892,Carpenter Ave,M,S1400,0.002949789,292.230011,30.35829926,-97.6996994
215,168,168,1105320995580,N Lamar Blvd,M,S1200,0.017811594,1824.079956,30.35829926,-97.6996994
216,147,147,1104475062440, , ,S1630,0.00038119,41.19260025,30.35849953,-97.688797
217,148,148,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.35849953,-97.688797
218,160,160,1105320995594,E Rundberg Ln,M,S1400,0.006052131,600.2589722,30.35849953,-97.688797
219,150,150,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.3586998,-97.6934967
220,151,151,110485843721,Middle Ln,M,S1400,0.004470927,442.480011,30.3586998,-97.6934967
221,154,154,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.3586998,-97.6934967
222,152,152,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35880089,-97.69589996
223,153,153,110485886617,W Fawnridge Dr,M,S1400,0.001115352,110.689003,30.35880089,-97.69589996
224,158,158,110485879565,Slayton Dr,M,S1400,0.00772593,814.4719849,30.35880089,-97.69589996
225,154,154,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.35960007,-97.69300079
226,155,155,110485886974,Hackberry Ln,M,S1400,0.002210073,218.8470001,30.35960007,-97.69300079
227,159,159,110485817823,North Dr,M,S1400,0.002855732,304.8699951,30.35960007,-97.69300079
228,156,156,110485767155,Glenn Ln,M,S1400,0.006715203,719.8140259,30.35969925,-97.69709778
