,customer,weight,round,length
0,"[91, 167, 116, 140, 117, 168, 169, 80, 79, 35, 33, 118]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2]",0,2424.2142463689
1,"[146, 157, 61, 39, 40, 41, 151, 109, 150, 58, 93, 130, 115]","[1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]",0,5397.0850000592
2,"[131, 156, 153, 154, 161, 135, 155, 175, 174, 106, 94]","[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]",0,18508.915498758
3,"[90, 50, 89, 129, 88, 62, 98, 2]","[2, 1, 1, 1, 1, 5, 1, 3]",0,1599.0923478835
4,"[99, 47, 45, 160, 14, 5, 6, 7, 103, 8, 57, 97]","[1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0,2502.0923733439
5,"[87, 70, 0, 63, 48, 37, 85, 49, 101, 102, 71, 36]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",1,2438.9905728992994
6,"[51, 52, 81, 83, 74, 27, 75, 126, 122, 73, 100]","[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3]",1,2339.1840175598
7,"[55, 34, 141, 142, 145, 120, 143, 170]","[2, 1, 2, 1, 2, 1, 3, 1]",1,2859.539026142
8,"[64, 172, 173, 125, 104, 66, 67, 68, 69]","[2, 1, 2, 1, 3, 3, 1, 1, 1]",1,2511.9131837382
9,"[53, 54, 164, 165, 59, 108, 107, 19, 18, 163, 22, 21]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1]",1,2479.7390657632004
