,BID
0,29460
1,29491
2,29526
3,29543
4,29548
5,29573
6,29576
7,29585
8,31250
9,32235
10,32376
11,32390
12,32397
13,32412
14,32439
15,32464
16,32485
17,32513
18,32535
19,32547
20,32549
21,32550
22,32587
23,32638
24,32641
25,32663
26,32676
27,32679
28,32697
29,32701
30,32702
31,32708
32,32709
33,32722
34,32724
35,32726
36,32736
37,32749
38,32757
39,32768
40,32789
41,32796
42,32812
43,32825
44,32826
45,32828
46,32829
47,32833
48,32839
49,32853
50,32854
51,32862
52,32866
53,32867
54,32875
55,32878
56,32880
57,32881
58,32888
59,32897
60,32904
61,32913
62,32914
63,32915
64,32917
65,32918
66,32919
67,32920
68,32922
69,32925
70,32929
71,32938
72,32940
73,32960
74,32974
75,32979
76,32981
77,32984
78,32991
79,32996
80,33022
81,33026
82,33032
83,33047
84,33050
85,33055
86,33068
87,33070
88,33074
89,33080
90,33083
91,33085
92,33090
93,33118
94,33140
95,33153
96,33237
97,33283
98,33379
99,33423
100,33431
101,33448
102,33455
103,33463
104,33490
105,33509
106,33570
107,33649
108,33651
109,33826
110,33874
111,33897
112,33901
113,33909
114,33927
115,33962
116,33975
117,33976
118,33978
119,34056
120,34061
121,34063
122,34066
123,34067
124,34073
125,34092
126,34114
127,34148
128,34191
129,34261
130,34265
131,34289
132,34314
133,34318
134,34328
135,34340
136,34344
137,34362
138,34384
139,34492
140,34522
141,34524
142,34553
143,34555
144,34594
145,34599
146,34600
147,34617
148,34663
149,34693
150,34700
