,BID
0,20776
1,21043
2,21129
3,21178
4,21219
5,21227
6,21235
7,21286
8,21287
9,21298
10,21317
11,21332
12,21338
13,21342
14,21350
15,21352
16,21365
17,21373
18,21389
19,21390
20,21394
21,21415
22,21418
23,21424
24,21456
25,21457
26,21466
27,21475
28,21488
29,21496
30,21499
31,21519
32,21528
33,21535
34,21539
35,21541
36,21546
37,21579
38,21583
39,21588
40,21591
41,21594
42,21618
43,21621
44,21632
45,21668
46,21683
47,21694
48,21703
49,21715
50,21747
51,21748
52,21796
53,21811
54,21818
55,21825
56,21834
57,21838
58,21843
59,21853
60,21859
61,21864
62,21866
63,21950
64,21957
65,22002
66,22006
67,22024
68,22025
69,22032
70,22061
71,22094
72,22122
73,22128
74,22139
75,22161
76,22174
77,22177
78,22188
79,22216
80,22234
81,22242
82,22272
83,22296
84,22297
85,22300
86,22372
87,22423
88,22429
89,22490
90,22538
91,22549
92,22558
93,22612
94,22617
95,22641
96,22686
97,22695
98,22753
99,22834
100,22889
101,23022
