,BID
0,17740
1,17779
2,17814
3,17816
4,17842
5,17843
6,17890
7,17893
8,17907
9,17931
10,17937
11,17946
12,17949
13,17956
14,17966
15,17975
16,17991
17,18009
18,18036
19,18040
20,18054
21,18068
22,18086
23,18115
24,18149
25,18157
26,18165
27,18190
28,18212
29,18215
30,18221
31,18223
32,18231
33,18233
34,18240
35,18258
36,18261
37,18266
38,18278
39,18279
40,18297
41,18302
42,18322
43,18349
44,18363
45,18391
46,18400
47,18421
48,18445
49,18447
50,18451
51,18496
52,18511
53,18531
54,18570
55,18575
56,18579
57,18665
58,18688
59,18706
60,18713
61,18735
62,18746
63,18756
64,18759
65,18761
66,18799
67,18895
68,18912
69,18982
70,18993
71,19005
72,19009
73,19081
74,19123
75,19195
76,19238
77,19246
78,19263
79,19492
