,CID
0,4471
1,4473
2,6494
3,6495
4,9841
5,9842
6,10900
7,10901
8,10902
9,10903
10,10904
11,10905
12,11682
13,11683
14,11684
15,11685
16,11686
17,11687
18,11688
19,11689
20,11690
21,11691
22,11692
23,11693
24,11694
25,11695
26,11696
27,11697
28,11698
29,11730
30,11913
31,18269
32,18270
33,18739
34,18740
35,18741
36,18742
37,19345
38,19396
39,19397
40,24667
41,24668
42,24669
43,25574
44,25579
45,25580
46,25581
47,25582
48,25583
49,25584
50,25585
51,25586
52,25587
53,25588
54,25589
55,25590
56,25591
57,25593
58,25594
59,25595
60,25596
61,25597
62,25598
63,25599
64,25600
65,26526
66,32328
67,32750
68,32751
69,32752
70,32753
71,32754
72,38099
73,38101
74,38104
75,38108
76,38408
77,38409
78,38410
79,39539
80,39703
81,39704
82,40141
83,40142
84,40143
85,40144
86,40145
87,40146
88,40149
89,40150
90,40151
91,40152
92,47296
93,47297
94,47298
95,47299
96,47300
97,47301
98,47303
99,47844
100,47845
101,47846
102,47864
103,47865
104,48059
105,48060
106,48061
107,52765
108,52769
109,52771
110,52772
111,52774
112,54248
113,54249
114,54250
115,54251
116,54721
117,54723
118,54724
119,54725
120,54726
121,54727
122,54728
123,54729
124,54730
125,54731
126,55120
127,60722
128,61109
129,61110
130,61111
131,61112
132,61113
133,61114
134,61115
135,61659
