,CID
0,1425
1,1946
2,3576
3,7075
4,7076
5,14927
6,14948
7,14953
8,15266
9,15267
10,15269
11,15270
12,15271
13,21950
14,21951
15,21952
16,21967
17,21968
18,21970
19,22185
20,22249
21,22250
22,22251
23,22253
24,22399
25,22400
26,22502
27,28772
28,28773
29,28948
30,28981
31,28982
32,28983
33,29148
34,29246
35,29383
36,36530
37,36531
38,36532
39,36540
40,36764
41,36780
42,36894
43,36921
44,43205
45,43209
46,43611
47,50947
48,50948
49,57645
50,57825
51,57826
52,57827
53,58107
54,58279
55,58312
56,63997
57,64435
58,64436
