,customer,weight,round,length
0,"[123, 65, 64, 63, 33, 119, 88, 44, 54, 24]","[1, 1, 1, 1, 2, 1, 3, 2, 2, 1]",0,4586.0883674451
1,"[70, 71, 90, 56, 3, 34, 124, 94, 93, 78, 79, 74, 80, 118, 66]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,4356.082594514
2,"[121, 102, 20, 37, 108, 12, 11, 10, 55, 17, 15]","[1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2]",0,4321.069436901
3,[],[],0,0.0
4,"[29, 50, 81, 69, 106, 67, 60, 59, 62, 113, 112, 100, 99, 82, 36]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,7796.439112177001
