,customer,weight,round,length
0,"[46, 54, 48, 17, 16, 44, 7, 45, 22, 27, 23, 40, 39, 47]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0,1749.67693565
1,"[72, 51, 63, 21, 41, 8, 26, 33, 30, 15, 55, 18, 37, 38]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1319.454559633
2,"[42, 53, 24, 79, 32, 78, 50, 1, 25, 49, 28, 29]","[1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1]",2,766.14091912
3,"[52, 60, 71, 9, 14, 13, 34, 43]","[1, 4, 1, 1, 1, 1, 5, 1]",3,264.76655355900004
4,"[34, 31, 86, 6, 5, 36, 12, 58, 11]","[2, 1, 6, 1, 1, 1, 1, 1, 1]",4,2170.7246641
5,"[2, 19, 67, 35, 77, 4, 65, 57, 85, 20, 70, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1]",5,2537.68433078
6,"[88, 66, 56, 68, 76, 80, 87, 84, 82, 59, 75, 0, 85]","[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6,804.471528328
7,"[83, 64, 74, 61, 69, 10, 81, 62, 73, 84]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 5]",7,1088.715467856
