,BID
0,34048
1,34081
2,34179
3,34253
4,34467
5,34529
6,34543
7,34590
8,34598
9,34634
10,34707
11,34738
12,34769
13,34778
14,34825
15,34847
16,34870
17,34874
18,34876
19,34898
20,34906
21,34909
22,34926
23,34937
24,34966
25,34971
26,34985
27,34995
28,35024
29,35046
30,35047
31,35072
32,35093
33,35101
34,35106
35,35109
36,35123
37,35149
38,35157
39,35196
40,35206
41,35210
42,35227
43,35228
44,35239
45,35244
46,35254
47,35264
48,35273
49,35303
50,35305
51,35308
52,35314
53,35320
54,35350
55,35354
56,35356
57,35362
58,35368
59,35397
60,35402
61,35409
62,35413
63,35425
64,35433
65,35439
66,35440
67,35444
68,35452
69,35455
70,35456
71,35459
72,35472
73,35477
74,35489
75,35496
76,35497
77,35499
78,35507
79,35508
80,35512
81,35515
82,35534
83,35539
84,35545
85,35552
86,35558
87,35564
88,35569
89,35572
90,35573
91,35593
92,35598
93,35605
94,35607
95,35617
96,35620
97,35622
98,35624
99,35629
100,35642
101,35644
102,35647
103,35650
104,35654
105,35658
106,35659
107,35669
108,35671
109,35684
110,35687
111,35692
112,35695
113,35709
114,35718
115,35737
116,35750
117,35755
118,35760
119,35762
120,35780
121,35797
122,35803
123,35804
124,35805
125,35846
126,35848
127,35852
128,35853
129,35861
130,35866
131,35892
132,35893
133,35910
134,35919
135,35936
136,35949
137,35961
138,35962
139,35963
140,35969
141,36008
142,36015
143,36018
144,36040
145,36060
146,36079
147,36101
148,36121
149,36128
150,36139
151,36141
152,36152
153,36172
154,36176
155,36189
156,36190
157,36247
158,36287
159,36312
160,36317
161,36351
162,36400
