,customer,weight,round,length
0,[35],[15],0,33.8146687494
1,[35],[15],0,33.8146687494
2,[35],[15],0,33.8146687494
3,[35],[15],0,33.8146687494
4,"[35, 92]","[7, 8]",1,228.824482946
5,[35],[15],1,33.8146687494
6,[35],[15],1,33.8146687494
7,[35],[15],1,33.8146687494
8,[92],[15],2,195.0098141966
9,[92],[15],2,195.0098141966
10,[92],[15],2,195.0098141966
11,[92],[15],2,195.0098141966
12,"[129, 140, 138, 163, 186, 161, 24, 41]","[2, 1, 1, 1, 1, 5, 3, 1]",3,3815.3189288791
13,"[132, 49, 178, 15, 176, 36, 106]","[1, 2, 1, 1, 1, 2, 2]",3,3041.639767962
14,[92],[14],3,195.0098141966
15,"[146, 23, 147, 99, 157, 181]","[2, 2, 1, 1, 1, 1]",3,2540.439954359
