,BID
0,8443
1,8458
2,8466
3,8480
4,8498
5,8510
6,8525
7,8533
8,8541
9,8547
10,8570
11,8581
12,8598
13,8612
14,8633
15,8652
16,8667
17,8712
18,8727
19,8743
20,8788
21,8944
22,9109
23,9182
24,9204
25,9214
26,9276
27,9332
28,9349
29,9426
30,9432
31,9447
32,9468
33,9484
34,9494
35,9506
36,9520
37,9530
38,9539
39,9593
40,9616
41,9617
42,9622
43,9626
44,9629
45,9632
46,9633
47,9636
48,9644
49,9650
50,9658
51,9661
52,9679
53,9685
54,9692
55,9724
56,9731
57,9755
58,9785
59,9806
60,9830
61,9850
62,9877
63,9900
64,9905
65,9910
66,9949
67,9976
68,9998
69,10021
70,10031
71,10040
72,10044
73,10057
74,10058
75,10061
76,10063
77,10076
78,10079
79,10098
80,10125
81,10149
82,10164
83,10194
84,10196
85,10220
86,10243
87,10275
88,10299
89,10321
90,10378
91,10421
92,10422
93,10476
94,10530
95,10551
96,10552
97,10590
98,10595
99,10616
100,10654
101,10655
102,10662
103,10669
104,10687
105,10694
106,10717
107,10723
108,10724
109,10730
110,10745
111,10802
112,10809
113,10810
114,10837
115,10849
116,10853
117,10912
118,10920
119,10930
120,10943
121,10971
122,11179
123,11211
124,11301
125,11350
126,11453
127,11484
128,11494
129,11501
130,11506
131,11508
132,11513
133,11529
134,11530
135,11538
136,11578
137,11584
138,11588
139,11598
140,11604
141,11606
142,11632
143,11652
144,11665
145,11674
146,11716
147,11717
148,11726
149,11733
150,11734
151,11758
152,11759
153,11762
154,11764
155,11773
156,11776
157,11780
158,11785
159,11796
160,11806
161,11810
162,11811
163,11833
164,11853
165,11854
166,11868
167,11869
168,11872
169,11886
170,11900
171,11908
172,11915
173,11917
174,11939
175,11960
176,11963
177,11978
178,11987
179,11996
180,12041
181,12057
182,12075
183,12094
184,12097
185,12103
186,12106
187,12134
188,12144
189,12155
190,12187
191,12190
192,12192
193,12209
194,12212
195,12223
196,12232
197,12244
198,12248
199,12258
200,12262
201,12268
202,12271
203,12273
204,12274
205,12277
206,12282
207,12379
208,12382
209,12419
210,12432
211,12468
212,12556
213,12603
214,12721
215,12772
216,12788
217,12798
218,12834
219,12836
220,12878
221,12881
222,12888
223,13015
224,13036
225,13135
226,13239
227,13257
228,13287
229,13305
230,13309
231,13351
232,13361
233,13379
234,13382
235,13385
236,13406
237,13412
238,13420
239,13432
240,13449
241,13471
242,13472
243,13478
244,13497
245,13501
246,13524
247,13544
248,13551
249,13568
250,13578
251,13634
252,13636
253,13696
254,13700
255,13702
256,13724
257,13729
258,13747
259,13748
260,13768
261,13778
262,13785
263,13786
264,13788
265,13789
266,13797
267,13804
268,13809
269,13820
270,13837
271,13843
272,13866
273,13880
274,13889
275,13895
276,13896
277,13987
278,13998
279,14003
280,14022
281,14081
282,14120
283,14135
284,14153
285,14161
286,14165
287,14185
288,14229
289,14248
290,14254
291,14269
292,14272
293,14313
294,14322
295,14335
296,14357
297,14405
298,14466
299,14478
300,14499
301,14528
302,14549
303,14562
304,14564
305,14599
306,14609
307,14661
308,14664
309,14693
310,14730
311,14750
312,14820
313,14827
314,14832
315,14833
316,14840
317,14847
318,14918
319,14932
320,14945
321,14973
322,14988
323,15033
324,15036
325,15054
326,15060
327,15087
328,15095
329,15120
330,15268
331,15284
332,15288
333,15297
334,15307
