,customer,weight,round,length
0,"[1, 75, 61, 47, 42, 91, 99, 68, 67, 16]","[2, 2, 2, 2, 1, 2, 1, 1, 1, 1]",0,5875.7945129419995
1,"[44, 46, 45, 7, 8, 21, 15, 14, 104, 105, 11, 97, 95, 77, 30]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,5840.064403753202
2,"[24, 80, 76, 6, 5, 39, 41, 106, 90, 73, 52]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2]",2,5418.115576366199
3,"[88, 81, 17, 55, 53, 57, 40, 36, 74, 60, 0, 59]","[1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1]",3,5314.578796653101
4,"[87, 20, 54, 19, 18, 22, 3, 48, 25, 89, 66, 94, 65]","[1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]",4,4407.2836534019
5,"[48, 4, 2, 51]","[1, 1, 1, 1]",5,3637.4338428359997
