,BID
0,34297
1,34373
2,34430
3,34454
4,34509
5,34534
6,34538
7,34540
8,34559
9,34579
10,34619
11,34620
12,34639
13,34667
14,34676
15,34678
16,34695
17,34725
18,34745
19,34746
20,34753
21,34767
22,34775
23,34784
24,34793
25,34834
26,34851
27,34856
28,34860
29,34867
30,34868
31,34877
32,34879
33,34881
34,34882
35,34885
36,34919
37,34922
38,34933
39,34941
40,34944
41,34952
42,34954
43,34967
44,34994
45,35002
46,35014
47,35034
48,35050
49,35068
50,35094
51,35100
52,35108
53,35113
54,35122
55,35128
56,35141
57,35166
58,35172
59,35178
60,35197
61,35198
62,35201
63,35205
64,35222
65,35240
66,35247
67,35256
68,35258
69,35277
70,35281
71,35282
72,35289
73,35290
74,35293
75,35296
76,35310
77,35323
78,35324
79,35329
80,35333
81,35339
82,35340
83,35357
84,35359
85,35376
86,35378
87,35382
88,35383
89,35387
90,35411
91,35431
92,35451
93,35467
94,35485
95,35490
96,35502
97,35505
98,35518
99,35519
100,35527
101,35551
102,35554
103,35562
104,35563
105,35586
106,35594
107,35631
108,35643
109,35649
