,BID
0,34229
1,34672
2,34682
3,34808
4,35018
5,35023
6,35031
7,35075
8,35110
9,35138
10,35245
11,35304
12,35334
13,35345
14,35408
15,35447
16,35482
17,35486
18,35493
19,35509
20,35514
21,35524
22,35537
23,35581
24,35614
25,35738
26,35761
27,35766
28,35775
29,35796
30,35812
31,35817
32,35821
33,35877
34,35900
35,35904
36,35908
37,35932
38,35965
39,36044
40,36056
41,36142
42,36164
43,36229
44,36275
45,36286
46,36292
47,36299
48,36340
49,36411
50,36507
51,36581
52,36631
53,36727
54,36738
55,36779
56,36820
57,36958
58,37141
59,37225
60,37296
61,37311
62,37323
63,37326
64,37345
65,37354
66,37370
67,37394
68,37399
69,37403
70,37430
71,37455
72,37477
73,37483
74,37513
75,37553
76,37554
77,37579
78,37590
79,37594
80,37615
81,37710
82,37736
83,37810
84,37823
85,37835
86,37838
87,37842
88,37846
89,37849
90,37880
91,37883
92,37884
93,37909
94,37920
95,37927
96,37931
97,37934
98,37951
99,37955
100,37961
101,37969
102,37972
103,37976
104,37983
105,37984
106,38005
107,38014
108,38030
109,38031
110,38043
111,38072
112,38077
113,38079
114,38082
115,38084
116,38085
117,38087
118,38095
119,38126
120,38208
