,CID
0,3752
1,3753
2,14938
3,14940
4,14941
5,14942
6,14943
7,14944
8,14954
9,14955
10,14956
11,14957
12,14958
13,14959
14,14960
15,14961
16,14962
17,14963
18,14964
19,14965
20,14966
21,14967
22,14969
23,14970
24,14971
25,14972
26,15009
27,15235
28,21962
29,21963
30,21964
31,21965
32,21966
33,21971
34,21972
35,21973
36,21974
37,21975
38,21976
39,21977
40,21978
41,21979
42,21980
43,21981
44,21982
45,21984
46,21986
47,21987
48,21988
49,22114
50,22163
51,22166
52,22167
53,22218
54,22219
55,22220
56,22221
57,22222
58,22223
59,22295
60,22537
61,22538
62,28777
63,28778
64,28779
65,28780
66,28781
67,28782
68,28783
69,28784
70,28785
71,28786
72,28787
73,28788
74,28789
75,28790
76,28792
77,28793
78,28796
79,28797
80,28799
81,28800
82,28801
83,28802
84,28803
85,28825
86,28826
87,29019
88,29080
89,29236
90,29416
91,36031
92,36032
93,36033
94,36036
95,36549
96,36552
97,36553
98,36554
99,36555
100,36556
101,36557
102,36725
103,36737
104,36738
105,36781
106,36829
107,37022
108,43212
109,43226
110,43227
111,43228
112,43229
113,43230
114,43231
115,43232
116,43233
117,43234
118,43236
119,43239
120,43240
121,43241
122,43242
123,43243
124,43244
125,43245
126,43266
127,43267
128,43268
129,43576
130,43577
131,43578
132,43579
133,43584
134,44094
135,50950
136,50951
137,50952
138,50953
139,50955
140,50956
141,50957
142,50958
143,50959
144,50960
145,51202
146,51203
147,51435
148,51458
149,51621
150,57649
151,57650
152,57651
153,57652
154,57653
155,57654
156,57655
157,57656
158,57657
159,57658
160,57659
161,57660
162,57661
163,57662
164,57663
165,57664
166,57665
167,57666
168,57667
169,57669
170,57670
171,57671
172,57672
173,57673
174,57674
175,57725
176,57885
177,57886
178,57889
179,57891
180,57892
181,57894
182,58159
183,58193
184,58313
185,58328
186,63982
187,63983
188,63984
189,63985
190,63986
191,63987
192,63988
193,63989
194,63990
195,63998
196,64000
197,64001
198,64003
199,64004
200,64005
201,64006
202,64011
203,64012
204,64014
205,64015
206,64032
207,64425
208,64495
209,64520
210,64521
211,64669
212,64684
213,64699
214,64786
