,customer,weight,round,length
0,"[80, 118, 94, 93, 117, 102, 103, 95, 78, 79]","[1, 1, 1, 1, 5, 1, 1, 1, 2, 1]",0,1964.0800217793999
1,"[36, 18, 17, 49, 68, 46]","[7, 1, 1, 1, 3, 2]",0,2482.4284510119996
2,"[29, 45, 105, 28, 104, 96, 27, 50, 51, 43]","[1, 1, 1, 2, 1, 1, 2, 3, 1, 2]",0,2775.9620580593996
3,"[47, 48, 35, 59, 60, 42, 75]","[8, 1, 1, 1, 1, 1, 2]",1,2468.0274528463997
4,"[83, 84, 57, 86, 107, 85, 38, 23, 39, 37, 32, 81, 118, 55]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",1,2301.7540362907002
5,"[30, 111, 110, 114, 92, 106, 101, 34, 99, 41, 98, 24, 100, 71, 31]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,2924.0301593716003
6,"[112, 72, 6, 5, 4, 1, 91, 90, 13, 14, 116, 115]","[1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1]",2,4245.208435163001
7,"[108, 82, 67, 25, 64, 61, 63, 62, 113, 76, 40]","[1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1]",2,3552.7221597738007
8,[],[],2,0.0
