,CID
0,7874
1,7875
2,7876
3,7878
4,7879
5,7880
6,10398
7,10405
8,10406
9,10408
10,10409
11,10410
12,10411
13,10412
14,10413
15,10420
16,10496
17,10499
18,10500
19,10513
20,10514
21,10515
22,12616
23,12617
24,12618
25,17351
26,17352
27,17353
28,17354
29,17444
30,17445
31,17446
32,17447
33,17448
34,19627
35,19628
36,19629
37,19630
38,24056
39,24057
40,24059
41,24060
42,24061
43,24189
44,24190
45,24191
46,24192
47,26518
48,31501
49,31502
50,31503
51,31504
52,31505
53,31506
54,31507
55,31508
56,31527
57,31528
58,31646
59,31647
60,31648
61,31649
62,33478
63,33479
64,33480
65,33481
66,33483
67,33640
68,33641
69,33642
70,33738
71,38953
72,38954
73,38955
74,38956
75,38957
76,38958
77,38959
78,38964
79,38965
80,38972
81,38973
82,38974
83,38975
84,38976
85,38977
86,38978
87,38979
88,38980
89,38985
90,38986
91,38987
92,38989
93,38990
94,39105
95,39106
96,39107
97,39108
98,39109
99,45471
100,45472
101,45473
102,45474
103,45475
104,45476
105,45477
106,45770
107,45771
108,45772
109,45773
110,45774
111,45775
112,45776
113,45779
114,45780
115,45783
116,45784
117,46308
118,46309
119,46310
120,46311
121,46313
122,46314
123,46322
124,46328
125,46331
126,46335
127,46336
128,46498
129,46499
130,46500
131,46501
132,46507
133,46508
134,46542
135,46543
136,48625
137,48627
138,53480
139,53481
140,53482
141,53483
142,53484
143,53485
144,53487
145,53488
146,53498
147,53500
148,53501
149,53503
150,53505
151,53511
152,53512
153,53566
154,53567
155,53568
156,59842
157,59843
158,59844
159,59845
160,59847
161,59848
162,59849
163,59850
164,59851
165,59852
166,59853
167,59854
168,59855
169,59856
170,59878
171,59879
172,59880
173,59906
