,BID
0,38188
1,38313
2,38321
3,38330
4,38345
5,38348
6,38405
7,38426
8,38451
9,38459
10,38470
11,38480
12,38504
13,38507
14,38518
15,38530
16,38536
17,38572
18,38575
19,38581
20,38589
21,38603
22,38608
23,38617
24,38621
25,38630
26,38631
27,38633
28,38634
29,38645
30,38648
31,38654
32,38656
33,38658
34,38660
35,38664
36,38669
37,38683
38,38684
39,38686
40,38695
41,38698
42,38704
43,38705
44,38721
45,38728
46,38731
47,38735
48,38736
49,38737
50,38738
51,38745
52,38747
53,38758
54,38771
55,38783
56,38791
57,38799
58,38801
59,38810
60,38823
61,38827
62,38828
63,38830
64,38835
65,38836
66,38838
67,38849
68,38861
69,38864
70,38867
71,38869
72,38882
73,38883
74,38890
75,38902
76,38911
77,38918
78,38923
79,38934
80,38935
81,38938
82,38940
83,38947
84,38954
85,38957
86,38971
87,38975
88,38980
89,38989
90,38996
91,39007
92,39011
93,39013
94,39015
95,39028
96,39030
97,39037
98,39039
99,39043
100,39056
101,39058
102,39064
103,39065
104,39070
105,39074
106,39085
107,39088
108,39095
109,39105
110,39108
111,39109
112,39110
113,39113
114,39119
115,39134
116,39143
117,39144
118,39148
119,39150
120,39174
121,39177
122,39189
123,39199
124,39200
125,39212
126,39216
127,39218
128,39232
129,39249
130,39250
131,39251
132,39266
133,39272
134,39277
135,39279
136,39286
137,39303
138,39327
139,39331
140,39334
141,39349
142,39358
143,39359
144,39363
145,39376
146,39391
147,39394
148,39401
149,39413
150,39423
151,39426
152,39438
153,39452
154,39453
155,39454
156,39460
157,39486
158,39510
159,39522
160,39573
161,39654
162,39674
163,39696
164,39700
165,39826
