,customer,weight,round,length
0,"[192, 58, 59, 97, 98, 119, 67, 118, 117, 129]","[2, 3, 2, 2, 1, 1, 1, 1, 1, 1]",0,4294.481125514
1,"[113, 146, 114, 115, 183, 145, 141, 182, 142, 144, 181]","[2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1]",0,3619.1455771750007
2,"[65, 3, 2, 1, 139, 138, 17, 18, 0, 19]","[3, 2, 1, 1, 1, 1, 1, 3, 1, 1]",0,2529.7179943432
3,"[68, 120, 105, 176, 175, 109, 110, 191, 108, 124, 123, 125]","[1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1]",0,4527.2297478277
4,"[50, 51, 150, 151, 72, 54, 55, 23, 101, 100]","[2, 2, 1, 2, 1, 1, 2, 1, 2, 1]",1,13365.784954663
5,"[14, 115, 16, 186, 174, 89, 92, 90, 91]","[2, 1, 2, 1, 3, 1, 2, 2, 1]",1,17397.4985178668
6,"[171, 38, 131, 169, 10, 168, 6, 11, 12, 78, 13, 187]","[1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1]",1,19203.150130947
7,"[52, 27, 28, 46, 188, 134, 107, 133]","[2, 2, 2, 1, 2, 3, 2, 1]",1,16057.463660652
8,"[60, 61, 160, 111, 37, 71, 157, 163, 164, 92, 185]","[1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2]",2,25102.900871520997
9,[],[],2,0.0
10,"[87, 154, 147, 155, 149, 122, 148, 79, 84, 86, 49]","[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]",2,13497.152248832
11,"[152, 153, 102, 80, 103, 76, 121, 189]","[1, 1, 1, 1, 1, 3, 2, 2]",2,14159.7032320154
