,customer,weight,round,length
0,"[63, 138, 95, 137, 103, 102, 85, 39, 104, 81, 125]","[1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2]",0,2562.8945632649998
1,"[141, 68, 28, 8, 53, 42, 56, 55, 57, 58, 51, 72, 126, 32]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0,4010.7314127849
2,"[67, 20, 121, 21, 23, 12, 13, 9, 65]","[1, 1, 1, 1, 1, 2, 1, 4, 3]",0,2364.72433848
3,"[61, 112, 108, 101, 62]","[1, 10, 2, 1, 1]",0,1621.5336840745001
4,"[3, 33, 35, 143, 129, 146, 134, 52, 48, 49, 93]","[1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1]",0,3856.7877210817
5,[],[],1,0.0
6,"[127, 98, 99, 97, 54]","[3, 1, 1, 4, 1]",1,2881.0524212067003
7,"[11, 46, 44, 136, 147, 135, 131, 100]","[1, 3, 3, 1, 1, 1, 4, 1]",1,5086.837568887
8,[],[],1,0.0
9,"[4, 5, 123, 36]","[1, 10, 1, 1]",1,3816.3493532259995
