,customer,weight,round,length
0,[35],[15],0,2030.22290832
1,[35],[15],0,2030.22290832
2,"[44, 32, 33, 35]","[1, 2, 1, 11]",0,2927.3322497689996
3,"[71, 31, 30, 48, 116, 150, 151, 147, 101, 99, 34, 16]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2]",0,5460.010179956001
4,[35],[15],0,2030.22290832
5,[],[],1,0.0
6,"[12, 87, 162, 85, 56, 37, 54, 120]","[1, 1, 1, 1, 2, 1, 1, 1]",1,2662.113017777
7,"[36, 49, 132, 92, 140]","[2, 2, 1, 9, 1]",1,2736.9248001759997
8,"[73, 43, 39, 82, 63, 170, 57, 74, 78, 79, 50]","[2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1,4989.991276163
9,[],[],1,0.0
