,customer,weight,round,length
0,"[145, 229, 232, 64, 114, 222, 108, 28, 153, 154, 291]","[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",0,20237.581174971303
1,"[110, 61, 62, 107, 29, 308, 293, 294, 104, 304, 211, 49, 48]","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",1,20549.153629822904
2,"[50, 290, 160, 159, 158, 60, 63, 70, 194, 227, 68, 120, 10, 124]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,25464.456609188896
3,"[46, 273, 259, 295, 9, 11, 296, 7, 267, 263, 265, 266, 256]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]",3,3715.9256115708004
4,"[138, 93, 12, 302, 148, 67, 268, 260, 129]","[1, 2, 3, 2, 2, 1, 1, 1, 2]",4,4483.7732523245995
5,"[137, 15, 16, 143, 142, 228, 147, 129, 306, 101, 102, 130]","[1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1]",5,3919.2017886628
6,"[51, 53, 213, 239, 240, 241, 22, 141, 14, 274, 282]","[2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1]",6,5032.172515149
7,"[73, 78, 282, 235, 236, 25, 238, 286, 52, 96, 97, 90, 88]","[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",7,5984.592669583801
8,"[170, 34, 98, 95, 151, 23, 196, 283, 277, 190, 192]","[3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",8,5484.8990616070005
9,"[169, 217, 35, 164, 214, 297, 193, 281, 278, 195, 44]","[1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2]",9,6447.487513378801
10,"[165, 57, 162, 113, 207, 208, 197, 279, 87, 288, 31]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3]",10,6953.945208068998
11,"[113, 168, 166, 298, 289, 79, 280, 19]","[4, 2, 1, 1, 2, 1, 1, 3]",11,7002.367088673001
12,"[299, 19, 198, 209, 314, 174, 55]","[1, 2, 5, 3, 2, 1, 1]",12,7377.087350611
13,"[299, 20, 199, 210, 249, 310, 220, 219, 246, 251, 65, 39]","[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",13,5533.595245121
14,"[206, 285, 80, 312, 309, 252]","[1, 2, 1, 1, 1, 2]",14,4243.883151321
