,customer,weight,round,length
0,"[17, 30, 41, 22, 37, 45, 38]","[4, 1, 5, 1, 2, 1, 1]",0,1486.109049763
1,"[26, 10, 18, 1, 20, 28, 11, 19, 31, 42]","[1, 1, 6, 1, 1, 1, 1, 1, 1, 1]",0,1067.357234083
2,"[36, 23, 6, 5, 35, 3, 16, 27, 25]","[2, 2, 1, 1, 3, 1, 3, 1, 1]",0,1373.483689351
3,"[40, 34, 4, 12, 33, 24, 8, 21, 29]","[1, 1, 2, 2, 1, 5, 1, 1, 1]",0,1869.4628549230001
4,[],[],1,0.0
5,"[13, 15, 2, 44, 39]","[1, 1, 3, 1, 2]",1,1039.369020873
6,[],[],1,0.0
7,"[14, 7, 32, 43, 0, 9]","[1, 1, 2, 4, 1, 1]",1,635.575000503
