,customer,weight,round,length
0,"[172, 121, 116, 113, 114, 112, 109]","[1, 3, 1, 2, 1, 4, 3]",0,2122.9339361439997
1,"[51, 128, 50, 130, 129, 84, 85, 108, 13, 24, 125]","[2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2]",0,2661.9872931675004
2,"[92, 155, 166, 94, 95, 96, 47, 164, 48, 124, 126]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1]",0,2598.8505280310005
3,"[16, 170, 117, 167, 147, 64, 33, 30, 14, 192]","[1, 2, 1, 1, 1, 1, 1, 1, 4, 2]",1,6044.2382636639995
4,[],[],1,0.0
5,"[187, 18, 19, 3, 174, 2, 5, 0, 4, 78]","[2, 1, 2, 1, 3, 2, 1, 1, 1, 1]",1,3706.251993411701
