,customer,weight,round,length
0,"[49, 21, 14, 2, 30, 6, 40, 35, 41, 37]","[2, 2, 1, 1, 1, 2, 1, 1, 3, 1]",0,1347.578778922
1,"[34, 20, 8, 27, 31, 29, 33, 15, 17, 55]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 3]",0,1349.815517884
2,"[16, 60, 11, 42, 22, 32, 28, 50, 36]","[3, 2, 1, 2, 1, 1, 1, 3, 1]",0,1945.617917687
3,"[13, 44, 18, 51, 56, 53, 58, 47, 4, 61, 54, 23]","[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1]",1,1542.378885698
4,"[7, 48, 59, 57, 19, 39, 43]","[2, 4, 1, 1, 1, 4, 2]",1,2143.5849161300002
5,"[14, 26, 3, 38, 45, 1, 12, 46]","[1, 1, 1, 3, 1, 5, 1, 2]",1,1721.313480338
6,"[24, 52, 10]","[1, 11, 2]",2,2541.36739598
7,[],[],2,0.0
8,"[9, 52, 0, 5, 25]","[1, 10, 1, 2, 1]",2,1556.545609401
