,customer,weight,round,length
0,"[11, 8, 7, 44, 79, 97, 69]","[8, 2, 1, 1, 1, 1, 1]",0,2000002189.1249557
1,[11],[15],0,2000000000.0
2,[11],[15],0,2000000000.0
3,"[100, 84, 29, 76, 77, 110, 61, 92, 38, 23]","[1, 1, 2, 1, 1, 3, 1, 1, 2, 2]",0,2000003222.8809154
4,[11],[15],1,2000000000.0
5,[11],[15],1,2000000000.0
6,[11],[15],1,2000000000.0
7,[11],[15],1,2000000000.0
8,"[11, 70, 71, 111, 35, 116, 46, 22, 47]","[5, 1, 1, 3, 1, 1, 1, 1, 1]",2,2000003189.607319
9,[],[],2,0.0
10,[11],[15],2,2000000000.0
11,[],[],2,0.0
