,CID
0,5120
1,5798
2,11605
3,11619
4,12266
5,18558
6,18939
7,18940
8,25355
9,25356
10,25357
11,25358
12,25359
13,25360
14,25450
15,25453
16,26123
17,30978
18,30993
19,32517
20,32518
21,32519
22,32526
23,32580
24,32582
25,32583
26,38910
27,38913
28,38914
29,38916
30,38917
31,38918
32,39946
33,40069
34,40070
35,40071
36,40072
37,40073
38,40074
39,40075
40,40076
41,40330
42,40331
43,40332
44,40333
45,40334
46,40335
47,40336
48,40337
49,40665
50,45277
51,47705
52,47706
53,47729
54,47730
55,47738
56,47742
57,48376
58,54506
59,54638
60,54639
61,60426
62,60435
63,60436
64,60437
65,61754
